host_time_s,phase,seq,mcu_time_ms,dt_us,mode,flags,left_setpoint_rps,right_setpoint_rps,left_wheel_rps,right_wheel_rps,left_encoder_delta,right_encoder_delta,left_encoder_total,right_encoder_total,left_pwm,right_pwm,odom_x_m,odom_y_m,odom_heading_rad,current_linear_mps,current_angular_rps,sonar_distance_cm,left_setpoint_dbg,left_measured_dbg,left_error,left_p,left_i,left_ff,left_pid_out,left_out,right_setpoint_dbg,right_measured_dbg,right_error,right_p,right_i,right_ff,right_pid_out,right_out
0.727414,left_вперёд,883,22201,25012,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.753037,left_вперёд,884,22225,24992,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,120,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.778499,left_вперёд,885,22250,25004,2,0,0.000000,0.000000,0.870267,0.000000,18,0,19,0,120,0,0.000855,-0.000004,-0.008764,0.034175,-0.350516,-1,,,,,,,,,,,,,,,,
0.804951,left_вперёд,886,22276,24980,2,0,0.000000,0.000000,2.322942,0.000000,48,0,68,0,120,0,0.003133,-0.000050,-0.032136,0.091222,-0.935607,-1,,,,,,,,,,,,,,,,
0.834374,left_вперёд,887,22300,25016,2,0,0.000000,0.000000,3.237773,0.000000,67,0,135,0,120,0,0.006310,-0.000204,-0.064758,0.127147,-1.304072,-1,,,,,,,,,,,,,,,,
0.854855,left_вперёд,888,22326,25012,2,0,0.000000,0.000000,3.721618,0.000000,77,0,213,0,120,0,0.009952,-0.000509,-0.102250,0.146148,-1.498950,-1,,,,,,,,,,,,,,,,
0.879603,left_вперёд,889,22350,24988,2,0,0.000000,0.000000,4.112226,0.000000,85,0,298,0,120,0,0.013957,-0.001004,-0.143637,0.161487,-1.656274,-1,,,,,,,,,,,,,,,,
0.905149,left_вперёд,890,22376,24988,2,0,0.000000,0.000000,4.305742,0.000000,89,0,386,0,120,0,0.018125,-0.001699,-0.186972,0.169086,-1.734217,-1,,,,,,,,,,,,,,,,
0.930589,left_вперёд,891,22401,24996,2,0,0.000000,0.000000,4.449455,0.000000,92,0,480,0,120,0,0.022397,-0.002607,-0.231767,0.174730,-1.792099,-1,,,,,,,,,,,,,,,,
0.956496,left_вперёд,892,22425,25008,2,0,0.000000,0.000000,4.447320,0.000000,92,0,571,0,120,0,0.026624,-0.003705,-0.276562,0.174646,-1.791239,-1,,,,,,,,,,,,,,,,
0.982242,left_вперёд,893,22451,25004,2,0,0.000000,0.000000,4.544728,0.000000,94,0,665,0,120,0,0.030888,-0.005022,-0.322332,0.178471,-1.830472,-1,,,,,,,,,,,,,,,,
1.007231,left_вперёд,894,22475,24984,2,0,0.000000,0.000000,4.548366,0.000000,94,0,760,0,120,0,0.035087,-0.006532,-0.368101,0.178614,-1.831938,-1,,,,,,,,,,,,,,,,
1.032660,left_вперёд,895,22501,25020,2,0,0.000000,0.000000,4.638456,0.000000,96,0,855,0,120,0,0.039300,-0.008271,-0.414844,0.182152,-1.868223,-1,,,,,,,,,,,,,,,,
1.055689,left_вперёд,896,22525,25012,2,0,0.000000,0.000000,4.639939,0.000000,96,0,951,0,120,0,0.043427,-0.010205,-0.461587,0.182210,-1.868821,-1,,,,,,,,,,,,,,,,
1.083757,left_вперёд,897,22550,24968,2,0,0.000000,0.000000,4.599699,0.000000,95,0,1046,0,120,0,0.047417,-0.012306,-0.507843,0.180630,-1.852613,-1,,,,,,,,,,,,,,,,
1.107214,left_вперёд,898,22576,25040,2,0,0.000000,0.000000,4.634751,0.000000,96,0,1142,0,120,0,0.051347,-0.014615,-0.554586,0.182006,-1.866731,-1,,,,,,,,,,,,,,,,
1.132726,left_вперёд,899,22600,24968,2,0,0.000000,0.000000,4.599699,0.000000,95,0,1238,0,120,0,0.055125,-0.017078,-0.600842,0.180630,-1.852613,-1,,,,,,,,,,,,,,,,
1.158108,left_вперёд,900,22626,25000,2,0,0.000000,0.000000,4.642167,0.000000,96,0,1334,0,120,0,0.058823,-0.019741,-0.647584,0.182297,-1.869718,-1,,,,,,,,,,,,,,,,
1.183518,left_вперёд,901,22650,25008,2,0,0.000000,0.000000,4.640681,0.000000,96,0,1429,0,120,0,0.062392,-0.022575,-0.694327,0.182239,-1.869119,-1,,,,,,,,,,,,,,,,
1.208874,left_вперёд,902,22676,25048,2,0,0.000000,0.000000,4.633270,0.000000,96,0,1525,0,120,0,0.065825,-0.025572,-0.741070,0.181948,-1.866134,-1,,,,,,,,,,,,,,,,
1.234272,left_вперёд,903,22701,24936,2,0,0.000000,0.000000,4.605601,0.000000,95,0,1620,0,120,0,0.069081,-0.028693,-0.787326,0.180862,-1.854990,-1,,,,,,,,,,,,,,,,
1.259397,left_вперёд,904,22725,25008,2,0,0.000000,0.000000,4.640681,0.000000,96,0,1716,0,120,0,0.072221,-0.031996,-0.834069,0.182239,-1.869119,-1,,,,,,,,,,,,,,,,
1.284776,left_вперёд,905,22751,25036,2,0,0.000000,0.000000,4.683778,0.000000,97,0,1813,0,120,0,0.075234,-0.035479,-0.881299,0.183932,-1.886477,-1,,,,,,,,,,,,,,,,
1.309967,left_вперёд,906,22775,24976,2,0,0.000000,0.000000,4.646627,0.000000,96,0,1909,0,120,0,0.078050,-0.039062,-0.928042,0.182473,-1.871514,-1,,,,,,,,,,,,,,,,
1.335754,left_вперёд,907,22801,25000,2,0,0.000000,0.000000,4.642167,0.000000,96,0,2006,0,120,0,0.080696,-0.042773,-0.974785,0.182297,-1.869718,-1,,,,,,,,,,,,,,,,
1.361240,left_вперёд,908,22825,24992,2,0,0.000000,0.000000,4.692024,0.000000,97,0,2102,0,120,0,0.083190,-0.046643,-1.022015,0.184255,-1.889799,-1,,,,,,,,,,,,,,,,
1.386698,left_вперёд,909,22850,25012,2,0,0.000000,0.000000,4.688272,0.000000,97,0,2199,0,120,0,0.085499,-0.050628,-1.069245,0.184108,-1.888288,-1,,,,,,,,,,,,,,,,
1.409987,left_вперёд,910,22876,24976,2,0,0.000000,0.000000,4.646627,0.000000,96,0,2295,0,120,0,0.087596,-0.054674,-1.115988,0.182473,-1.871514,-1,,,,,,,,,,,,,,,,
1.437605,left_вперёд,911,22900,25012,2,0,0.000000,0.000000,4.688272,0.000000,97,0,2392,0,120,0,0.089521,-0.058858,-1.163217,0.184108,-1.888288,-1,,,,,,,,,,,,,,,,
1.460514,left_вперёд,912,22926,25004,2,0,0.000000,0.000000,4.641424,0.000000,96,0,2488,0,120,0,0.091229,-0.063083,-1.209960,0.182268,-1.869419,-1,,,,,,,,,,,,,,,,
1.485913,left_вперёд,913,22950,24984,2,0,0.000000,0.000000,4.645139,0.000000,96,0,2584,0,120,0,0.092738,-0.067383,-1.256703,0.182414,-1.870915,-1,,,,,,,,,,,,,,,,
1.513351,left_вперёд,914,22976,25016,2,0,0.000000,0.000000,4.639197,0.000000,96,0,2680,0,120,0,0.094044,-0.071749,-1.303446,0.182181,-1.868522,-1,,,,,,,,,,,,,,,,
1.536312,left_вперёд,915,23001,25008,2,0,0.000000,0.000000,4.640681,0.000000,96,0,2776,0,120,0,0.095145,-0.076172,-1.350189,0.182239,-1.869119,-1,,,,,,,,,,,,,,,,
1.561801,left_вперёд,916,23025,25024,2,0,0.000000,0.000000,4.686024,0.000000,97,0,2873,0,120,0,0.096046,-0.080688,-1.397419,0.184020,-1.887382,-1,,,,,,,,,,,,,,,,
1.586796,left_вперёд,917,23051,24980,2,0,0.000000,0.000000,4.645884,0.000000,96,0,2969,0,120,0,0.096727,-0.085194,-1.444162,0.182443,-1.871215,-1,,,,,,,,,,,,,,,,
1.612330,left_вперёд,918,23075,25004,2,0,0.000000,0.000000,4.689772,0.000000,97,0,3066,0,120,0,0.097201,-0.089774,-1.491392,0.184167,-1.888892,-1,,,,,,,,,,,,,,,,
1.638244,left_вперёд,919,23101,25016,2,0,0.000000,0.000000,4.687522,0.000000,97,0,3163,0,120,0,0.097458,-0.094372,-1.538622,0.184079,-1.887985,-1,,,,,,,,,,,,,,,,
1.664531,left_вперёд,920,23126,24952,2,0,0.000000,0.000000,4.651097,0.000000,96,0,3259,0,120,0,0.097498,-0.098929,-1.585365,0.182648,-1.873314,-1,,,,,,,,,,,,,,,,
1.689916,left_вперёд,921,23150,25008,2,0,0.000000,0.000000,4.689022,0.000000,97,0,3356,0,120,0,0.097322,-0.103531,-1.632594,0.184137,-1.888589,-1,,,,,,,,,,,,,,,,
1.715490,left_вперёд,922,23176,25012,2,0,0.000000,0.000000,4.688272,0.000000,97,0,3453,0,120,0,0.096929,-0.108119,-1.679824,0.184108,-1.888288,-1,,,,,,,,,,,,,,,,
1.738357,left_вперёд,923,23200,24984,2,0,0.000000,0.000000,4.645139,0.000000,96,0,3549,0,120,0,0.096328,-0.112637,-1.726567,0.182414,-1.870915,-1,,,,,,,,,,,,,,,,
1.763891,left_вперёд,924,23226,24996,2,0,0.000000,0.000000,4.642910,0.000000,96,0,3646,0,120,0,0.095515,-0.117121,-1.773310,0.182327,-1.870017,-1,,,,,,,,,,,,,,,,
1.791415,left_вперёд,925,23250,25016,2,0,0.000000,0.000000,4.639197,0.000000,96,0,3742,0,120,0,0.094495,-0.121563,-1.820053,0.182181,-1.868522,-1,,,,,,,,,,,,,,,,
1.814786,left_вперёд,926,23276,25004,2,0,0.000000,0.000000,4.641424,0.000000,96,0,3838,0,120,0,0.093268,-0.125952,-1.866796,0.182268,-1.869419,-1,,,,,,,,,,,,,,,,
1.840192,left_вперёд,927,23301,25004,2,0,0.000000,0.000000,4.641424,0.000000,96,0,3934,0,120,0,0.091837,-0.130279,-1.913539,0.182268,-1.869419,-1,,,,,,,,,,,,,,,,
1.866657,left_вперёд,928,23325,24996,2,0,0.000000,0.000000,4.642910,0.000000,96,0,4030,0,120,0,0.090205,-0.134534,-1.960282,0.182327,-1.870017,-1,,,,,,,,,,,,,,,,
1.890542,left_вперёд,929,23351,25008,2,0,0.000000,0.000000,4.689022,0.000000,97,0,4126,0,120,0,0.088357,-0.138752,-2.007512,0.184137,-1.888589,-1,,,,,,,,,,,,,,,,
1.916760,left_вперёд,930,23375,24996,2,0,0.000000,0.000000,4.691273,0.000000,97,0,4223,0,120,0,0.086311,-0.142877,-2.054741,0.184226,-1.889496,-1,,,,,,,,,,,,,,,,
1.941509,left_вперёд,931,23401,25008,2,0,0.000000,0.000000,4.640681,0.000000,96,0,4319,0,120,0,0.084097,-0.146861,-2.101484,0.182239,-1.869119,-1,,,,,,,,,,,,,,,,
1.966944,left_вперёд,932,23426,25008,2,0,0.000000,0.000000,4.689022,0.000000,97,0,4416,0,120,0,0.081673,-0.150776,-2.148714,0.184137,-1.888589,-1,,,,,,,,,,,,,,,,
1.992335,left_вперёд,933,23450,25020,2,0,0.000000,0.000000,4.686773,0.000000,97,0,4513,0,120,0,0.079067,-0.154573,-2.195944,0.184049,-1.887684,-1,,,,,,,,,,,,,,,,
2.017487,left_вперёд,934,23476,24964,2,0,0.000000,0.000000,4.648861,0.000000,96,0,4609,0,120,0,0.076314,-0.158205,-2.242687,0.182560,-1.872414,-1,,,,,,,,,,,,,,,,
2.042396,left_вперёд,935,23500,25012,2,0,0.000000,0.000000,4.688272,0.000000,97,0,4706,0,120,0,0.073364,-0.161740,-2.289917,0.184108,-1.888288,-1,,,,,,,,,,,,,,,,
2.067767,left_вперёд,936,23526,24996,2,0,0.000000,0.000000,4.642910,0.000000,96,0,4802,0,120,0,0.070282,-0.165098,-2.336659,0.182327,-1.870017,-1,,,,,,,,,,,,,,,,
2.093483,left_вперёд,937,23550,24968,2,0,0.000000,0.000000,4.648116,0.000000,96,0,4898,0,120,0,0.067047,-0.168308,-2.383402,0.182531,-1.872114,-1,,,,,,,,,,,,,,,,
2.119248,left_вперёд,938,23576,25048,2,0,0.000000,0.000000,4.681534,0.000000,97,0,4995,0,120,0,0.063630,-0.171395,-2.430632,0.183843,-1.885573,-1,,,,,,,,,,,,,,,,
2.144861,left_вперёд,939,23601,24968,2,0,0.000000,0.000000,4.599699,0.000000,95,0,5091,0,120,0,0.060145,-0.174258,-2.476888,0.180630,-1.852613,-1,,,,,,,,,,,,,,,,
2.170811,left_вперёд,940,23625,25000,2,0,0.000000,0.000000,4.642167,0.000000,96,0,5186,0,120,0,0.056493,-0.176985,-2.523631,0.182297,-1.869718,-1,,,,,,,,,,,,,,,,
2.194162,left_вперёд,941,23651,25000,2,0,0.000000,0.000000,4.642167,0.000000,96,0,5282,0,120,0,0.052718,-0.179538,-2.570374,0.182297,-1.869718,-1,,,,,,,,,,,,,,,,
3.232720,left_назад,982,24676,24996,2,0,0.000000,0.000000,0.000000,0.000000,0,0,5633,0,0,0,0.037868,-0.187364,-2.742738,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
3.256039,left_назад,983,24700,24984,2,0,0.000000,0.000000,0.000000,0.000000,0,0,5633,0,-120,0,0.037868,-0.187364,-2.742738,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
3.281051,left_назад,984,24726,25012,2,0,0.000000,0.000000,-0.966654,0.000000,-20,0,5612,0,-120,0,0.038742,-0.186991,-2.733000,-0.037960,0.389338,-1,,,,,,,,,,,,,,,,
3.306405,left_назад,985,24751,24996,2,0,0.000000,0.000000,-2.466546,0.000000,-51,0,5560,0,-120,0,0.040951,-0.186001,-2.708168,-0.096861,0.993446,-1,,,,,,,,,,,,,,,,
3.331818,left_назад,986,24775,24992,2,0,0.000000,0.000000,-3.240882,0.000000,-67,0,5492,0,-120,0,0.043816,-0.184619,-2.675545,-0.127269,1.305325,-1,,,,,,,,,,,,,,,,
3.357164,left_назад,987,24801,24996,2,0,0.000000,0.000000,-3.724000,0.000000,-77,0,5416,0,-120,0,0.047050,-0.182915,-2.638054,-0.146241,1.499909,-1,,,,,,,,,,,,,,,,
3.382621,left_назад,988,24825,25028,2,0,0.000000,0.000000,-4.009050,0.000000,-83,0,5332,0,-120,0,0.050462,-0.180945,-2.597641,-0.157435,1.614718,-1,,,,,,,,,,,,,,,,
