host_time_s,phase,seq,mcu_time_ms,dt_us,mode,flags,left_setpoint_rps,right_setpoint_rps,left_wheel_rps,right_wheel_rps,left_encoder_delta,right_encoder_delta,left_encoder_total,right_encoder_total,left_pwm,right_pwm,odom_x_m,odom_y_m,odom_heading_rad,current_linear_mps,current_angular_rps,sonar_distance_cm,left_setpoint_dbg,left_measured_dbg,left_error,left_p,left_i,left_ff,left_pid_out,left_out,right_setpoint_dbg,right_measured_dbg,right_error,right_p,right_i,right_ff,right_pid_out,right_out
0.736421,left_вперёд,157,4050,24972,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,120,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.761693,left_вперёд,158,4075,24992,2,0,0.000000,0.000000,1.049287,0.000000,6,0,6,0,120,0,0.001977,-0.000020,-0.020279,0.079114,-0.811429,-1,,,,,,,,,,,,,,,,
0.789533,left_вперёд,159,4101,25008,2,0,0.000000,0.000000,2.796308,0.000000,16,0,23,0,120,0,0.007244,-0.000269,-0.074357,0.210837,-2.162428,-1,,,,,,,,,,,,,,,,
0.812564,left_вперёд,160,4125,25016,2,0,0.000000,0.000000,3.668981,0.000000,21,0,44,0,120,0,0.014122,-0.001028,-0.145335,0.276635,-2.837278,-1,,,,,,,,,,,,,,,,
0.837867,left_вперёд,161,4150,24984,2,0,0.000000,0.000000,4.023554,0.000000,23,0,67,0,120,0,0.021574,-0.002416,-0.223072,0.303369,-3.111476,-1,,,,,,,,,,,,,,,,
0.863598,left_вперёд,162,4175,24992,2,0,0.000000,0.000000,4.197147,0.000000,24,0,90,0,120,0,0.029209,-0.004477,-0.304189,0.316457,-3.245718,-1,,,,,,,,,,,,,,,,
0.888719,left_вперёд,163,4200,25016,2,0,0.000000,0.000000,4.193120,0.000000,24,0,115,0,120,0,0.036653,-0.007150,-0.385306,0.316154,-3.242604,-1,,,,,,,,,,,,,,,,
0.913862,left_вперёд,164,4226,24988,2,0,0.000000,0.000000,4.372728,0.000000,25,0,140,0,120,0,0.044150,-0.010566,-0.469803,0.329696,-3.381497,-1,,,,,,,,,,,,,,,,
0.937253,left_вперёд,165,4250,25008,2,0,0.000000,0.000000,4.369231,0.000000,25,0,165,0,120,0,0.051331,-0.014603,-0.554299,0.329432,-3.378793,-1,,,,,,,,,,,,,,,,
0.963227,left_вперёд,166,4275,25016,2,0,0.000000,0.000000,4.367834,0.000000,25,0,190,0,120,0,0.058147,-0.019231,-0.638796,0.329327,-3.377712,-1,,,,,,,,,,,,,,,,
0.988996,left_вперёд,167,4300,24988,2,0,0.000000,0.000000,4.372728,0.000000,25,0,215,0,120,0,0.064547,-0.024418,-0.723293,0.329696,-3.381497,-1,,,,,,,,,,,,,,,,
1.014769,left_вперёд,168,4325,25020,2,0,0.000000,0.000000,4.541821,0.000000,26,0,241,0,120,0,0.070715,-0.030365,-0.811170,0.342445,-3.512259,-1,,,,,,,,,,,,,,,,
1.040372,left_вперёд,169,4350,24972,2,0,0.000000,0.000000,4.375530,0.000000,25,0,265,0,120,0,0.076131,-0.036573,-0.895667,0.329907,-3.383664,-1,,,,,,,,,,,,,,,,
1.065627,left_вперёд,170,4375,25000,2,0,0.000000,0.000000,4.370629,0.000000,25,0,290,0,120,0,0.081004,-0.043216,-0.980164,0.329538,-3.379874,-1,,,,,,,,,,,,,,,,
1.090673,left_вперёд,171,4400,25012,2,0,0.000000,0.000000,4.368533,0.000000,25,0,315,0,120,0,0.085299,-0.050247,-1.064660,0.329380,-3.378253,-1,,,,,,,,,,,,,,,,
1.116127,left_вперёд,172,4425,25000,2,0,0.000000,0.000000,4.195804,0.000000,24,0,340,0,120,0,0.088849,-0.057314,-1.145777,0.316356,-3.244679,-1,,,,,,,,,,,,,,,,
1.142125,left_вперёд,173,4450,24984,2,0,0.000000,0.000000,4.373428,0.000000,25,0,365,0,120,0,0.091926,-0.064956,-1.230274,0.329749,-3.382039,-1,,,,,,,,,,,,,,,,
1.165677,left_вперёд,174,4475,25020,2,0,0.000000,0.000000,4.192451,0.000000,24,0,389,0,120,0,0.094263,-0.072512,-1.311391,0.316103,-3.242086,-1,,,,,,,,,,,,,,,,
1.190925,left_вперёд,175,4500,25004,2,0,0.000000,0.000000,4.369930,0.000000,25,0,413,0,120,0,0.096038,-0.080557,-1.395888,0.329485,-3.379333,-1,,,,,,,,,,,,,,,,
1.216670,left_вперёд,176,4526,24996,2,0,0.000000,0.000000,4.196476,0.000000,24,0,438,0,120,0,0.097098,-0.088394,-1.477005,0.316407,-3.245198,-1,,,,,,,,,,,,,,,,
1.242678,left_вперёд,177,4550,24980,2,0,0.000000,0.000000,4.374129,0.000000,25,0,463,0,120,0,0.097522,-0.096622,-1.561502,0.329802,-3.382580,-1,,,,,,,,,,,,,,,,
1.268769,left_вперёд,178,4576,25024,2,0,0.000000,0.000000,4.366437,0.000000,25,0,488,0,120,0,0.097251,-0.104856,-1.645999,0.329222,-3.376632,-1,,,,,,,,,,,,,,,,
1.292614,left_вперёд,179,4600,24988,2,0,0.000000,0.000000,4.372728,0.000000,25,0,512,0,120,0,0.096285,-0.113038,-1.730496,0.329696,-3.381497,-1,,,,,,,,,,,,,,,,
1.317896,left_вперёд,180,4625,25016,2,0,0.000000,0.000000,4.367834,0.000000,25,0,538,0,120,0,0.094633,-0.121109,-1.814993,0.329327,-3.377712,-1,,,,,,,,,,,,,,,,
1.343664,left_вперёд,181,4651,24980,2,0,0.000000,0.000000,4.374129,0.000000,25,0,563,0,120,0,0.092305,-0.129011,-1.899489,0.329802,-3.382580,-1,,,,,,,,,,,,,,,,
1.369197,left_вперёд,182,4675,25008,2,0,0.000000,0.000000,4.369231,0.000000,25,0,588,0,120,0,0.089319,-0.136689,-1.983986,0.329432,-3.378793,-1,,,,,,,,,,,,,,,,
1.392319,left_вперёд,183,4701,24980,2,0,0.000000,0.000000,4.549094,0.000000,26,0,614,0,120,0,0.085537,-0.144378,-2.071863,0.342994,-3.517884,-1,,,,,,,,,,,,,,,,
1.418781,left_вперёд,184,4725,25012,2,0,0.000000,0.000000,4.543274,0.000000,26,0,640,0,120,0,0.081095,-0.151704,-2.159740,0.342555,-3.513383,-1,,,,,,,,,,,,,,,,
1.444252,left_вперёд,185,4750,25000,2,0,0.000000,0.000000,4.370629,0.000000,25,0,665,0,120,0,0.076234,-0.158355,-2.244236,0.329538,-3.379874,-1,,,,,,,,,,,,,,,,
1.469699,left_вперёд,186,4775,25000,2,0,0.000000,0.000000,4.545455,0.000000,26,0,691,0,120,0,0.070601,-0.164812,-2.332113,0.342719,-3.515069,-1,,,,,,,,,,,,,,,,
1.495545,left_вперёд,187,4800,24988,2,0,0.000000,0.000000,4.722547,0.000000,27,0,717,0,120,0,0.064175,-0.170966,-2.423370,0.356072,-3.652017,-1,,,,,,,,,,,,,,,,
1.521115,left_вперёд,188,4826,25016,2,0,0.000000,0.000000,4.542547,0.000000,26,0,744,0,120,0,0.057482,-0.176316,-2.511247,0.342500,-3.512821,-1,,,,,,,,,,,,,,,,
1.546284,left_вперёд,189,4850,25000,2,0,0.000000,0.000000,4.720280,0.000000,27,0,770,0,120,0,0.050063,-0.181227,-2.602503,0.355901,-3.650264,-1,,,,,,,,,,,,,,,,
1.571724,left_вперёд,190,4875,24992,2,0,0.000000,0.000000,4.546910,0.000000,26,0,797,0,120,0,0.042524,-0.185298,-2.690380,0.342829,-3.516195,-1,,,,,,,,,,,,,,,,
1.596755,left_вперёд,191,4900,24996,2,0,0.000000,0.000000,4.546182,0.000000,26,0,823,0,120,0,0.034657,-0.188692,-2.778257,0.342774,-3.515632,-1,,,,,,,,,,,,,,,,
1.622200,left_вперёд,192,4925,25004,2,0,0.000000,0.000000,4.719525,0.000000,27,0,850,0,120,0,0.026205,-0.191471,-2.869514,0.355844,-3.649680,-1,,,,,,,,,,,,,,,,
1.647589,left_вперёд,193,4951,25012,2,0,0.000000,0.000000,4.543274,0.000000,26,0,876,0,120,0,0.017859,-0.193409,-2.957390,0.342555,-3.513383,-1,,,,,,,,,,,,,,,,
1.672658,left_вперёд,194,4975,24988,2,0,0.000000,0.000000,4.722547,0.000000,27,0,903,0,120,0,0.009046,-0.194638,-3.048647,0.356072,-3.652017,-1,,,,,,,,,,,,,,,,
