host_time_s,phase,seq,mcu_time_ms,dt_us,mode,flags,left_setpoint_rps,right_setpoint_rps,left_wheel_rps,right_wheel_rps,left_encoder_delta,right_encoder_delta,left_encoder_total,right_encoder_total,left_pwm,right_pwm,odom_x_m,odom_y_m,odom_heading_rad,current_linear_mps,current_angular_rps,sonar_distance_cm,left_setpoint_dbg,left_measured_dbg,left_error,left_p,left_i,left_ff,left_pid_out,left_out,right_setpoint_dbg,right_measured_dbg,right_error,right_p,right_i,right_ff,right_pid_out,right_out
2.102545,autotune_left,44,1125,25028,0,2,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
2.102545,autotune_left,45,1150,25004,0,2,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
2.206530,autotune_left,46,1176,25004,3,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,90,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
2.206530,autotune_left,47,1201,25004,3,0,0.000000,0.000000,0.483482,0.000000,10,0,10,0,90,0,0.000911,-0.000004,-0.009349,0.036454,-0.373884,-1,,,,,,,,,,,,,,,,
2.206530,autotune_left,48,1225,24960,3,0,0.000000,0.000000,1.453002,0.000000,30,0,40,0,90,0,0.003645,-0.000068,-0.037394,0.109554,-1.123628,-1,,,,,,,,,,,,,,,,
2.206530,autotune_left,49,1251,25032,3,0,0.000000,0.000000,1.786881,0.000000,37,0,77,0,90,0,0.007013,-0.000253,-0.071984,0.134728,-1.381822,-1,,,,,,,,,,,,,,,,
2.252917,autotune_left,50,1276,24988,3,0,0.000000,0.000000,2.080302,0.000000,43,0,120,0,90,0,0.010915,-0.000613,-0.112183,0.156851,-1.608730,-1,,,,,,,,,,,,,,,,
2.252917,autotune_left,51,1300,24992,3,0,0.000000,0.000000,2.273455,0.000000,47,0,167,0,90,0,0.015161,-0.001186,-0.156121,0.171414,-1.758097,-1,,,,,,,,,,,,,,,,
2.334987,autotune_left,52,1326,25028,3,0,0.000000,0.000000,2.463392,0.000000,51,0,218,0,90,0,0.019734,-0.002018,-0.203799,0.185735,-1.904978,-1,,,,,,,,,,,,,,,,
2.334987,autotune_left,53,1350,25000,3,0,0.000000,0.000000,2.514507,0.000000,52,0,270,0,90,0,0.024351,-0.003090,-0.252412,0.189589,-1.944506,-1,,,,,,,,,,,,,,,,
2.334987,autotune_left,54,1376,24996,3,0,0.000000,0.000000,2.563273,0.000000,53,0,323,0,90,0,0.028998,-0.004412,-0.301959,0.193266,-1.982218,-1,,,,,,,,,,,,,,,,
2.381926,autotune_left,55,1400,25000,3,0,0.000000,0.000000,2.417795,0.000000,50,0,373,0,90,0,0.033316,-0.005868,-0.348702,0.182297,-1.869717,-1,,,,,,,,,,,,,,,,
2.381926,autotune_left,56,1426,24968,3,0,0.000000,0.000000,2.711401,0.000000,56,0,429,0,90,0,0.038066,-0.007737,-0.401054,0.204435,-2.096767,-1,,,,,,,,,,,,,,,,
2.428908,autotune_left,57,1451,25024,3,0,0.000000,0.000000,2.657024,0.000000,55,0,484,0,90,0,0.042630,-0.009812,-0.452472,0.200335,-2.054717,-1,,,,,,,,,,,,,,,,
2.428908,autotune_left,58,1475,25008,3,0,0.000000,0.000000,2.658724,0.000000,55,0,539,0,90,0,0.047081,-0.012119,-0.503889,0.200463,-2.056031,-1,,,,,,,,,,,,,,,,
2.511293,autotune_left,59,1501,24984,3,0,0.000000,0.000000,2.709665,0.000000,56,0,595,0,90,0,0.051484,-0.014700,-0.556241,0.204304,-2.095425,-1,,,,,,,,,,,,,,,,
2.511293,autotune_left,60,1525,25016,3,0,0.000000,0.000000,2.512899,0.000000,52,0,647,0,90,0,0.055448,-0.017300,-0.604854,0.189468,-1.943263,-1,,,,,,,,,,,,,,,,
