host_time_s,phase,seq,mcu_time_ms,dt_us,mode,flags,left_setpoint_rps,right_setpoint_rps,left_wheel_rps,right_wheel_rps,left_encoder_delta,right_encoder_delta,left_encoder_total,right_encoder_total,left_pwm,right_pwm,odom_x_m,odom_y_m,odom_heading_rad,current_linear_mps,current_angular_rps,sonar_distance_cm,left_setpoint_dbg,left_measured_dbg,left_error,left_p,left_i,left_ff,left_pid_out,left_out,right_setpoint_dbg,right_measured_dbg,right_error,right_p,right_i,right_ff,right_pid_out,right_out
2.105931,autotune_left,44,1125,24992,0,2,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
2.105931,autotune_left,45,1150,25008,0,2,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
2.154048,autotune_left,46,1176,24972,3,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,90,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
2.154048,autotune_left,47,1201,25040,3,0,0.000000,0.000000,0.434508,0.000000,9,0,9,0,90,0,0.000820,-0.000003,-0.008414,0.032761,-0.336012,-1,,,,,,,,,,,,,,,,
2.257446,autotune_left,48,1225,24980,3,0,0.000000,0.000000,1.209865,0.000000,25,0,34,0,90,0,0.003099,-0.000049,-0.031785,0.091222,-0.935607,-1,,,,,,,,,,,,,,,,
2.257446,autotune_left,49,1251,24984,3,0,0.000000,0.000000,1.693540,0.000000,35,0,69,0,90,0,0.006285,-0.000203,-0.064505,0.127690,-1.309641,-1,,,,,,,,,,,,,,,,
2.257446,autotune_left,50,1275,25000,3,0,0.000000,0.000000,2.030948,0.000000,42,0,111,0,90,0,0.010100,-0.000525,-0.103769,0.153130,-1.570563,-1,,,,,,,,,,,,,,,,
2.257446,autotune_left,51,1300,25016,3,0,0.000000,0.000000,2.174624,0.000000,45,0,156,0,90,0,0.014170,-0.001035,-0.145838,0.163963,-1.681670,-1,,,,,,,,,,,,,,,,
2.305996,autotune_left,52,1326,24996,3,0,0.000000,0.000000,2.273091,0.000000,47,0,203,0,90,0,0.018393,-0.001751,-0.189776,0.171387,-1.757816,-1,,,,,,,,,,,,,,,,
2.305996,autotune_left,53,1350,25004,3,0,0.000000,0.000000,2.369060,0.000000,49,0,252,0,90,0,0.022759,-0.002693,-0.235584,0.178623,-1.832030,-1,,,,,,,,,,,,,,,,
2.352970,autotune_left,54,1376,25004,3,0,0.000000,0.000000,2.417408,0.000000,50,0,302,0,90,0,0.027165,-0.003860,-0.282327,0.182268,-1.869419,-1,,,,,,,,,,,,,,,,
2.352970,autotune_left,55,1400,24984,3,0,0.000000,0.000000,2.419343,0.000000,50,0,352,0,90,0,0.031511,-0.005232,-0.329070,0.182414,-1.870915,-1,,,,,,,,,,,,,,,,
2.435603,autotune_left,56,1426,25020,3,0,0.000000,0.000000,2.415862,0.000000,50,0,402,0,90,0,0.035788,-0.006805,-0.375813,0.182152,-1.868223,-1,,,,,,,,,,,,,,,,
2.435603,autotune_left,57,1451,25000,3,0,0.000000,0.000000,2.466151,0.000000,51,0,453,0,90,0,0.040070,-0.008614,-0.423491,0.185943,-1.907112,-1,,,,,,,,,,,,,,,,
2.435603,autotune_left,58,1475,25000,3,0,0.000000,0.000000,2.466151,0.000000,51,0,504,0,90,0,0.044261,-0.010625,-0.471169,0.185943,-1.907112,-1,,,,,,,,,,,,,,,,
2.484720,autotune_left,59,1501,24988,3,0,0.000000,0.000000,2.418956,0.000000,50,0,554,0,90,0,0.048273,-0.012788,-0.517912,0.182385,-1.870616,-1,,,,,,,,,,,,,,,,
2.484720,autotune_left,60,1525,25020,3,0,0.000000,0.000000,2.464180,0.000000,51,0,605,0,90,0,0.052256,-0.015185,-0.565590,0.185795,-1.905588,-1,,,,,,,,,,,,,,,,
2.531518,autotune_left,61,1551,24972,3,0,0.000000,0.000000,2.420506,0.000000,50,0,655,0,90,0,0.056045,-0.017716,-0.612333,0.182502,-1.871814,-1,,,,,,,,,,,,,,,,
2.531518,autotune_left,62,1575,25036,3,0,0.000000,0.000000,2.414319,0.000000,50,0,705,0,90,0,0.059713,-0.020422,-0.659075,0.182035,-1.867029,-1,,,,,,,,,,,,,,,,
2.633931,autotune_left,63,1600,24968,3,0,0.000000,0.000000,2.469312,0.000000,51,0,756,0,90,0,0.063319,-0.023356,-0.706753,0.186182,-1.909556,-1,,,,,,,,,,,,,,,,
2.633931,autotune_left,64,1626,24996,3,0,0.000000,0.000000,2.418182,0.000000,50,0,806,0,90,0,0.066714,-0.026396,-0.753496,0.182327,-1.870017,-1,,,,,,,,,,,,,,,,
2.633931,autotune_left,65,1650,24996,3,0,0.000000,0.000000,2.418182,0.000000,50,0,856,0,90,0,0.069964,-0.029591,-0.800239,0.182327,-1.870017,-1,,,,,,,,,,,,,,,,
2.633931,autotune_left,66,1676,25028,3,0,0.000000,0.000000,2.415090,0.000000,50,0,906,0,90,0,0.073061,-0.032934,-0.846982,0.182094,-1.867626,-1,,,,,,,,,,,,,,,,
2.712371,autotune_left,67,1700,25000,3,0,0.000000,0.000000,2.466151,0.000000,51,0,957,0,90,0,0.076056,-0.036489,-0.894660,0.185943,-1.907112,-1,,,,,,,,,,,,,,,,
2.712371,autotune_left,68,1726,25112,3,0,0.000000,0.000000,2.407012,0.000000,50,0,1007,0,90,0,0.078824,-0.040110,-0.941403,0.181484,-1.861379,-1,,,,,,,,,,,,,,,,
2.712371,autotune_left,69,1751,24860,3,0,0.000000,0.000000,2.431411,0.000000,50,0,1057,0,90,0,0.081420,-0.043856,-0.988146,0.183324,-1.880247,-1,,,,,,,,,,,,,,,,
2.757139,autotune_left,70,1775,25008,3,0,0.000000,0.000000,2.417022,0.000000,50,0,1107,0,90,0,0.083838,-0.047719,-1.034889,0.182239,-1.869120,-1,,,,,,,,,,,,,,,,
2.757139,autotune_left,71,1801,25004,3,0,0.000000,0.000000,2.465756,0.000000,51,0,1158,0,90,0,0.086116,-0.051771,-1.082566,0.185914,-1.906807,-1,,,,,,,,,,,,,,,,
2.815379,autotune_left,72,1825,24988,3,0,0.000000,0.000000,2.467335,0.000000,51,0,1209,0,90,0,0.088198,-0.055927,-1.130244,0.186033,-1.908028,-1,,,,,,,,,,,,,,,,
2.815379,autotune_left,73,1851,25020,3,0,0.000000,0.000000,2.464180,0.000000,51,0,1260,0,90,0,0.090079,-0.060178,-1.177922,0.185795,-1.905588,-1,,,,,,,,,,,,,,,,
2.865071,autotune_left,74,1875,25016,3,0,0.000000,0.000000,2.464574,0.000000,51,0,1311,0,90,0,0.091756,-0.064514,-1.225600,0.185824,-1.905892,-1,,,,,,,,,,,,,,,,
2.865071,autotune_left,75,1900,24980,3,0,0.000000,0.000000,2.322942,0.000000,48,0,1359,0,90,0,0.093144,-0.068663,-1.270473,0.175146,-1.796366,-1,,,,,,,,,,,,,,,,
2.914770,autotune_left,76,1926,25012,3,0,0.000000,0.000000,2.513301,0.000000,52,0,1411,0,90,0,0.094436,-0.073223,-1.319086,0.189498,-1.943574,-1,,,,,,,,,,,,,,,,
2.914770,autotune_left,77,1950,24972,3,0,0.000000,0.000000,2.468916,0.000000,51,0,1462,0,90,0,0.095486,-0.077752,-1.366763,0.186152,-1.909250,-1,,,,,,,,,,,,,,,,
2.983951,autotune_left,78,1976,24996,3,0,0.000000,0.000000,2.514909,0.000000,52,0,1514,0,90,0,0.096333,-0.082415,-1.415376,0.189620,-1.944818,-1,,,,,,,,,,,,,,,,
2.983951,autotune_left,79,2000,25000,3,0,0.000000,0.000000,2.466151,0.000000,51,0,1565,0,90,0,0.096943,-0.087023,-1.463054,0.185943,-1.907112,-1,,,,,,,,,,,,,,,,
2.983951,autotune_left,80,2025,25036,3,0,0.000000,0.000000,2.269459,0.000000,47,0,1612,0,90,0,0.097310,-0.091292,-1.506992,0.171113,-1.755007,-1,,,,,,,,,,,,,,,,
3.042232,autotune_left,81,2051,24964,3,0,0.000000,0.000000,2.469707,0.000000,51,0,1663,0,90,0,0.097496,-0.095937,-1.554670,0.186212,-1.909862,-1,,,,,,,,,,,,,,,,
3.042232,autotune_left,82,2076,25000,3,0,0.000000,0.000000,2.417795,0.000000,50,0,1713,0,90,0,0.097463,-0.100494,-1.601413,0.182297,-1.869717,-1,,,,,,,,,,,,,,,,
3.091604,autotune_left,83,2101,25008,3,0,0.000000,0.000000,2.417022,0.000000,50,0,1763,0,90,0,0.097217,-0.105045,-1.648156,0.182239,-1.869120,-1,,,,,,,,,,,,,,,,
3.091604,autotune_left,84,2125,25024,3,0,0.000000,0.000000,2.415476,0.000000,50,0,1813,0,90,0,0.096758,-0.109579,-1.694899,0.182123,-1.867924,-1,,,,,,,,,,,,,,,,
3.139965,autotune_left,85,2151,24976,3,0,0.000000,0.000000,2.420118,0.000000,50,0,1863,0,90,0,0.096089,-0.114087,-1.741642,0.182473,-1.871514,-1,,,,,,,,,,,,,,,,
3.139965,autotune_left,86,2177,24992,3,0,0.000000,0.000000,2.418569,0.000000,50,0,1913,0,90,0,0.095209,-0.118559,-1.788385,0.182356,-1.870316,-1,,,,,,,,,,,,,,,,
3.187814,autotune_left,87,2200,25028,3,0,0.000000,0.000000,2.270185,0.000000,47,0,1960,0,90,0,0.094193,-0.122720,-1.832323,0.171168,-1.755568,-1,,,,,,,,,,,,,,,,
3.187814,autotune_left,88,2226,25016,3,0,0.000000,0.000000,2.416249,0.000000,50,0,2010,0,90,0,0.092912,-0.127094,-1.879066,0.182181,-1.868522,-1,,,,,,,,,,,,,,,,
3.292043,autotune_left,89,2250,24984,3,0,0.000000,0.000000,2.419343,0.000000,50,0,2060,0,90,0,0.091428,-0.131403,-1.925809,0.182414,-1.870915,-1,,,,,,,,,,,,,,,,
3.292043,autotune_left,90,2276,25004,3,0,0.000000,0.000000,2.417408,0.000000,50,0,2110,0,90,0,0.089744,-0.135638,-1.972552,0.182268,-1.869419,-1,,,,,,,,,,,,,,,,
3.292043,autotune_left,91,2301,25024,3,0,0.000000,0.000000,2.463786,0.000000,51,0,2161,0,90,0,0.087825,-0.139872,-2.020230,0.185765,-1.905283,-1,,,,,,,,,,,,,,,,
3.292043,autotune_left,92,2325,24952,3,0,0.000000,0.000000,2.422446,0.000000,50,0,2211,0,90,0,0.085750,-0.143930,-2.066972,0.182648,-1.873314,-1,,,,,,,,,,,,,,,,
3.338315,autotune_left,93,2351,25008,3,0,0.000000,0.000000,2.465362,0.000000,51,0,2262,0,90,0,0.083440,-0.147964,-2.114650,0.185884,-1.906502,-1,,,,,,,,,,,,,,,,
3.338315,autotune_left,94,2375,25012,3,0,0.000000,0.000000,2.464968,0.000000,51,0,2313,0,90,0,0.080940,-0.151883,-2.162328,0.185854,-1.906197,-1,,,,,,,,,,,,,,,,
3.419945,autotune_left,95,2401,24972,3,0,0.000000,0.000000,2.517326,0.000000,52,0,2365,0,90,0,0.078203,-0.155752,-2.210941,0.189802,-1.946687,-1,,,,,,,,,,,,,,,,
3.419945,autotune_left,96,2425,25040,3,0,0.000000,0.000000,2.510490,0.000000,52,0,2417,0,90,0,0.075280,-0.159484,-2.259553,0.189287,-1.941400,-1,,,,,,,,,,,,,,,,
3.419945,autotune_left,97,2451,24996,3,0,0.000000,0.000000,2.466546,0.000000,51,0,2468,0,90,0,0.072241,-0.163001,-2.307231,0.185973,-1.907417,-1,,,,,,,,,,,,,,,,
3.466087,autotune_left,98,2476,24964,3,0,0.000000,0.000000,2.518133,0.000000,52,0,2520,0,90,0,0.068973,-0.166434,-2.355844,0.189863,-1.947311,13,,,,,,,,,,,,,,,,
3.466087,autotune_left,99,2500,25028,3,0,0.000000,0.000000,2.463392,0.000000,51,0,2571,0,90,0,0.065609,-0.169643,-2.403521,0.185735,-1.904978,13,,,,,,,,,,,,,,,,
3.544470,autotune_left,100,2526,25000,3,0,0.000000,0.000000,2.466151,0.000000,51,0,2622,0,90,0,0.062097,-0.172688,-2.451199,0.185943,-1.907112,13,,,,,,,,,,,,,,,,
3.544470,autotune_left,101,2550,24992,3,0,0.000000,0.000000,2.466940,0.000000,51,0,2673,0,90,0,0.058443,-0.175562,-2.498877,0.186003,-1.907722,-1,,,,,,,,,,,,,,,,
3.544470,autotune_left,102,2576,24984,3,0,0.000000,0.000000,2.467730,0.000000,51,0,2724,0,90,0,0.054657,-0.178259,-2.546555,0.186062,-1.908333,-1,,,,,,,,,,,,,,,,
3.599400,autotune_left,103,2600,25000,3,0,0.000000,0.000000,2.417795,0.000000,50,0,2774,0,90,0,0.050824,-0.180725,-2.593297,0.182297,-1.869717,-1,,,,,,,,,,,,,,,,
3.599400,autotune_left,104,2625,25012,3,0,0.000000,0.000000,2.416635,0.000000,50,0,2824,0,90,0,0.046880,-0.183009,-2.640040,0.182210,-1.868821,-1,,,,,,,,,,,,,,,,
3.646693,autotune_left,105,2651,24992,3,0,0.000000,0.000000,2.418569,0.000000,50,0,2874,0,90,0,0.042834,-0.185106,-2.686783,0.182356,-1.870316,-1,,,,,,,,,,,,,,,,
3.646693,autotune_left,106,2675,24996,3,0,0.000000,0.000000,2.418182,0.000000,50,0,2924,0,90,0,0.038694,-0.187012,-2.733526,0.182327,-1.870017,-1,,,,,,,,,,,,,,,,
3.695393,autotune_left,107,2701,25028,3,0,0.000000,0.000000,2.415090,0.000000,50,0,2974,0,90,0,0.034470,-0.188722,-2.780269,0.182094,-1.867626,-1,,,,,,,,,,,,,,,,
3.695393,autotune_left,108,2725,24984,3,0,0.000000,0.000000,2.467730,0.000000,51,0,3025,0,90,0,0.030084,-0.190261,-2.827947,0.186062,-1.908333,-1,,,,,,,,,,,,,,,,
3.774998,autotune_left,109,2750,24980,3,0,0.000000,0.000000,2.419731,0.000000,50,0,3075,0,90,0,0.025717,-0.191566,-2.874690,0.182443,-1.871215,-1,,,,,,,,,,,,,,,,
3.774998,autotune_left,110,2776,25040,3,0,0.000000,0.000000,2.462211,0.000000,51,0,3126,0,90,0,0.021205,-0.192684,-2.922368,0.185646,-1.904065,-1,,,,,,,,,,,,,,,,
3.774998,autotune_left,111,2800,24976,3,0,0.000000,0.000000,2.468521,0.000000,51,0,3177,0,90,0,0.016645,-0.193587,-2.970045,0.186122,-1.908945,-1,,,,,,,,,,,,,,,,
3.822756,autotune_left,112,2826,24992,3,0,0.000000,0.000000,2.466940,0.000000,51,0,3228,0,90,0,0.012047,-0.194271,-3.017723,0.186003,-1.907722,-1,,,,,,,,,,,,,,,,
3.822756,autotune_left,113,2850,25000,3,0,0.000000,0.000000,2.466151,0.000000,51,0,3279,0,90,0,0.007421,-0.194735,-3.065401,0.185943,-1.907112,-1,,,,,,,,,,,,,,,,
3.870899,autotune_left,114,2876,25012,3,0,0.000000,0.000000,2.513301,0.000000,52,0,3331,0,90,0,0.002688,-0.194981,-3.114013,0.189498,-1.943574,-1,,,,,,,,,,,,,,,,
3.870899,autotune_left,115,2902,25032,3,0,0.000000,0.000000,2.511292,0.000000,52,0,3383,0,90,0,-0.002052,-0.194997,3.120559,0.189347,-1.942021,-1,,,,,,,,,,,,,,,,
3.951688,autotune_left,116,2925,24972,3,0,0.000000,0.000000,2.275276,0.000000,47,0,3430,0,90,0,-0.006332,-0.194812,3.076621,0.171552,-1.759505,-1,,,,,,,,,,,,,,,,
3.951688,autotune_left,117,2951,25024,3,0,0.000000,0.000000,2.512095,0.000000,52,0,3482,0,90,0,-0.011053,-0.194390,3.028008,0.189408,-1.942641,-1,,,,,,,,,,,,,,,,
3.951688,autotune_left,118,2975,24976,3,0,0.000000,0.000000,2.516923,0.000000,52,0,3534,0,90,0,-0.015747,-0.193738,2.979396,0.189772,-1.946375,-1,,,,,,,,,,,,,,,,
4.022354,autotune_left,119,3001,25016,3,0,0.000000,0.000000,2.512899,0.000000,52,0,3586,0,90,0,-0.020405,-0.192859,2.930783,0.189468,-1.943263,-1,,,,,,,,,,,,,,,,
4.022354,autotune_left,120,3025,24988,3,0,0.000000,0.000000,2.322198,0.000000,48,0,3634,0,90,0,-0.024662,-0.191848,2.885910,0.175090,-1.795791,-1,,,,,,,,,,,,,,,,
4.022354,autotune_left,121,3050,24972,3,0,0.000000,0.000000,2.468916,0.000000,51,0,3685,0,90,0,-0.029130,-0.190566,2.838232,0.186152,-1.909250,-1,,,,,,,,,,,,,,,,
4.128478,autotune_left,122,3076,25016,3,0,0.000000,0.000000,2.512899,0.000000,52,0,3737,0,90,0,-0.033617,-0.189040,2.789620,0.189468,-1.943263,-1,,,,,,,,,,,,,,,,
4.128478,autotune_left,123,3101,25036,3,0,0.000000,0.000000,2.510891,0.000000,52,0,3789,0,90,0,-0.038025,-0.187299,2.741007,0.189317,-1.941710,-1,,,,,,,,,,,,,,,,
