host_time_s,phase,seq,mcu_time_ms,dt_us,mode,flags,left_setpoint_rps,right_setpoint_rps,left_wheel_rps,right_wheel_rps,left_encoder_delta,right_encoder_delta,left_encoder_total,right_encoder_total,left_pwm,right_pwm,odom_x_m,odom_y_m,odom_heading_rad,current_linear_mps,current_angular_rps,sonar_distance_cm,left_setpoint_dbg,left_measured_dbg,left_error,left_p,left_i,left_ff,left_pid_out,left_out,right_setpoint_dbg,right_measured_dbg,right_error,right_p,right_i,right_ff,right_pid_out,right_out
0.341341,autotune_left,3843,96233,25004,0,2,0.000000,0.000000,0.000000,0.000000,0,0,0,52122,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.341341,autotune_left,3844,96258,24992,0,2,0.000000,0.000000,0.000000,0.000000,0,0,0,52122,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.341341,autotune_left,3845,96282,25012,0,2,0.000000,0.000000,0.000000,0.000000,0,0,0,52122,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.341341,autotune_left,3846,96308,25000,0,2,0.000000,0.000000,0.000000,0.000000,0,0,0,52122,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.341341,autotune_left,3847,96332,24996,0,2,0.000000,0.000000,0.000000,0.000000,0,0,0,52122,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.341341,autotune_left,3848,96358,24988,0,2,0.000000,0.000000,0.000000,0.000000,0,0,0,52122,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.341341,autotune_left,3849,96382,24996,0,2,0.000000,0.000000,0.000000,0.000000,0,0,0,52122,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.341341,autotune_left,3850,96408,25012,0,2,0.000000,0.000000,0.000000,0.000000,0,0,0,52122,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.341341,autotune_left,3851,96433,25020,0,2,0.000000,0.000000,0.000000,0.000000,0,0,0,52122,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.341341,autotune_left,3852,96457,24984,0,2,0.000000,0.000000,0.000000,0.000000,0,0,0,52122,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.341341,autotune_left,3853,96483,25004,0,2,0.000000,0.000000,0.000000,0.000000,0,0,0,52122,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.557622,autotune_left,3854,96507,24996,0,2,0.000000,0.000000,0.000000,0.000000,0,0,0,52122,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.557622,autotune_left,3855,96533,25004,3,0,0.000000,0.000000,0.000000,0.000000,0,0,0,52122,90,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.557622,autotune_left,3856,96558,24980,3,0,0.000000,0.000000,0.629130,0.000000,13,0,14,52122,90,0,0.001185,-0.000007,-0.012153,0.047435,-0.486516,-1,,,,,,,,,,,,,,,,
0.557622,autotune_left,3857,96583,25000,3,0,0.000000,0.000000,1.789168,0.000000,37,0,51,52122,90,0,0.004556,-0.000106,-0.046743,0.134900,-1.383591,-1,,,,,,,,,,,,,,,,
