host_time_s,phase,seq,mcu_time_ms,dt_us,mode,flags,left_setpoint_rps,right_setpoint_rps,left_wheel_rps,right_wheel_rps,left_encoder_delta,right_encoder_delta,left_encoder_total,right_encoder_total,left_pwm,right_pwm,odom_x_m,odom_y_m,odom_heading_rad,current_linear_mps,current_angular_rps,sonar_distance_cm,left_setpoint_dbg,left_measured_dbg,left_error,left_p,left_i,left_ff,left_pid_out,left_out,right_setpoint_dbg,right_measured_dbg,right_error,right_p,right_i,right_ff,right_pid_out,right_out
2.098256,autotune_right,44,1125,24984,0,2,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
2.098256,autotune_right,45,1150,25016,0,2,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
2.180059,autotune_right,46,1176,25004,3,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,90,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
2.180059,autotune_right,47,1201,25004,3,0,0.000000,0.000000,0.000000,-0.483482,0,-10,0,-10,0,90,-0.000911,0.000004,-0.009349,-0.036454,-0.373884,-1,,,,,,,,,,,,,,,,
2.180059,autotune_right,48,1225,24996,3,0,0.000000,0.000000,0.000000,-1.354182,0,-28,0,-38,0,90,-0.003463,0.000062,-0.035525,-0.102103,-1.047210,-1,,,,,,,,,,,,,,,,
2.226973,autotune_right,49,1251,24964,3,0,0.000000,0.000000,0.000000,-1.694897,0,-35,0,-73,0,90,-0.006649,0.000227,-0.068245,-0.127792,-1.310690,-1,,,,,,,,,,,,,,,,
2.226973,autotune_right,50,1276,24996,3,0,0.000000,0.000000,0.000000,-1.982909,0,-41,0,-114,0,90,-0.010372,0.000553,-0.106574,-0.149508,-1.533414,-1,,,,,,,,,,,,,,,,
2.307357,autotune_right,51,1300,25028,3,0,0.000000,0.000000,0.000000,-2.173581,0,-45,0,-159,0,90,-0.014440,0.001075,-0.148643,-0.163884,-1.680864,-1,,,,,,,,,,,,,,,,
2.307357,autotune_right,52,1326,24972,3,0,0.000000,0.000000,0.000000,-2.275276,0,-47,0,-206,0,90,-0.018662,0.001803,-0.192581,-0.171552,-1.759505,-1,,,,,,,,,,,,,,,,
2.307357,autotune_right,53,1350,25020,3,0,0.000000,0.000000,0.000000,-2.367545,0,-49,0,-255,0,90,-0.023025,0.002758,-0.238389,-0.178509,-1.830859,-1,,,,,,,,,,,,,,,,
2.355946,autotune_right,54,1376,24980,3,0,0.000000,0.000000,0.000000,-2.419731,0,-50,0,-305,0,90,-0.027427,0.003937,-0.285132,-0.182443,-1.871215,-1,,,,,,,,,,,,,,,,
