host_time_s,phase,seq,mcu_time_ms,dt_us,mode,flags,left_setpoint_rps,right_setpoint_rps,left_wheel_rps,right_wheel_rps,left_encoder_delta,right_encoder_delta,left_encoder_total,right_encoder_total,left_pwm,right_pwm,odom_x_m,odom_y_m,odom_heading_rad,current_linear_mps,current_angular_rps,sonar_distance_cm,left_setpoint_dbg,left_measured_dbg,left_error,left_p,left_i,left_ff,left_pid_out,left_out,right_setpoint_dbg,right_measured_dbg,right_error,right_p,right_i,right_ff,right_pid_out,right_out
0.858786,left_вперёд,34224,855725,25004,2,0,0.000000,0.000000,0.000000,0.000000,0,0,372,27531,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.883584,left_вперёд,34225,855750,24996,2,0,0.000000,0.000000,0.000000,0.000000,0,0,372,27531,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.908974,left_вперёд,34226,855775,24984,2,0,0.000000,0.000000,0.000000,0.000000,0,0,372,27531,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.933293,left_вперёд,34227,855800,25008,2,0,0.000000,0.000000,0.000000,0.000000,0,0,372,27531,120,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.960372,left_вперёд,34228,855825,25008,2,0,0.000000,0.000000,0.000000,1.048615,0,6,372,27537,120,0,0.001977,0.000020,0.020279,0.079064,0.810910,-1,,,,,,,,,,,,,,,,
0.985726,left_вперёд,34229,855851,24992,2,0,0.000000,0.000000,0.000000,2.623217,0,15,372,27553,0,0,0.006915,0.000246,0.070977,0.197786,2.028574,-1,,,,,,,,,,,,,,,,
1.010742,left_вперёд,34230,855875,24996,2,0,0.000000,0.000000,0.000000,2.447944,0,14,372,27567,0,0,0.011508,0.000681,0.118296,0.184571,1.893032,-1,,,,,,,,,,,,,,,,
1.036054,left_вперёд,34231,855900,25024,2,0,0.000000,0.000000,0.000000,1.047945,0,6,372,27572,120,0,0.013469,0.000935,0.138575,0.079013,0.810392,-1,,,,,,,,,,,,,,,,
1.060461,left_вперёд,34232,855925,24992,2,0,0.000000,0.000000,0.000000,1.049287,0,6,372,27579,120,0,0.015424,0.001228,0.158854,0.079114,0.811429,-1,,,,,,,,,,,,,,,,
1.085159,left_вперёд,34233,855950,24984,2,0,0.000000,0.000000,0.000000,2.449120,0,14,372,27592,120,0,0.019961,0.002065,0.206172,0.184659,1.893942,-1,,,,,,,,,,,,,,,,
