host_time_s,phase,seq,mcu_time_ms,dt_us,mode,flags,left_setpoint_rps,right_setpoint_rps,left_wheel_rps,right_wheel_rps,left_encoder_delta,right_encoder_delta,left_encoder_total,right_encoder_total,left_pwm,right_pwm,odom_x_m,odom_y_m,odom_heading_rad,current_linear_mps,current_angular_rps,sonar_distance_cm,left_setpoint_dbg,left_measured_dbg,left_error,left_p,left_i,left_ff,left_pid_out,left_out,right_setpoint_dbg,right_measured_dbg,right_error,right_p,right_i,right_ff,right_pid_out,right_out
0.734737,left_вперёд,480,12125,24868,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,120,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.759186,left_вперёд,481,12150,24984,2,0,0.000000,0.000000,0.000000,0.874686,0,5,0,6,120,0,0.001648,0.000014,0.016899,0.065950,0.676408,-1,,,,,,,,,,,,,,,,
0.784348,left_вперёд,482,12175,24992,2,0,0.000000,0.000000,0.000000,2.798098,0,16,0,21,120,0,0.006915,0.000246,0.070977,0.210972,2.163812,-1,,,,,,,,,,,,,,,,
0.809594,left_вперёд,483,12200,25020,2,0,0.000000,0.000000,0.000000,3.493709,0,20,0,42,120,0,0.013470,0.000935,0.138575,0.263419,2.701738,-1,,,,,,,,,,,,,,,,
0.835071,left_вперёд,484,12225,25004,2,0,0.000000,0.000000,0.000000,3.845539,0,22,0,63,120,0,0.020608,0.002202,0.212932,0.289947,2.973813,-1,,,,,,,,,,,,,,,,
0.860172,left_вперёд,485,12251,24996,2,0,0.000000,0.000000,0.000000,3.671916,0,21,0,85,120,0,0.027316,0.003904,0.283909,0.276856,2.839549,-1,,,,,,,,,,,,,,,,
0.885662,left_вперёд,486,12275,24984,2,0,0.000000,0.000000,0.000000,3.848617,0,22,0,107,120,0,0.034195,0.006192,0.358267,0.290179,2.976194,-1,,,,,,,,,,,,,,,,
0.911246,left_вперёд,487,12300,25008,2,0,0.000000,0.000000,0.000000,3.844923,0,22,0,129,120,0,0.040885,0.008985,0.432624,0.289900,2.973338,-1,,,,,,,,,,,,,,,,
0.936163,left_вперёд,488,12325,24988,2,0,0.000000,0.000000,0.000000,4.022910,0,23,0,152,120,0,0.047638,0.012427,0.510361,0.303320,3.110977,-1,,,,,,,,,,,,,,,,
0.961838,left_вперёд,489,12350,25016,2,0,0.000000,0.000000,0.000000,4.018407,0,23,0,175,120,0,0.054102,0.016384,0.588098,0.302981,3.107496,-1,,,,,,,,,,,,,,,,
