host_time_s,phase,seq,mcu_time_ms,dt_us,mode,flags,left_setpoint_rps,right_setpoint_rps,left_wheel_rps,right_wheel_rps,left_encoder_delta,right_encoder_delta,left_encoder_total,right_encoder_total,left_pwm,right_pwm,odom_x_m,odom_y_m,odom_heading_rad,current_linear_mps,current_angular_rps,sonar_distance_cm,left_setpoint_dbg,left_measured_dbg,left_error,left_p,left_i,left_ff,left_pid_out,left_out,right_setpoint_dbg,right_measured_dbg,right_error,right_p,right_i,right_ff,right_pid_out,right_out
0.989824,left_вперёд,10926,273275,24984,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,1530,120,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
1.015904,left_вперёд,10927,273300,25004,2,0,0.000000,0.000000,0.000000,0.873986,0,5,0,1536,120,0,0.001648,0.000014,0.016899,0.065897,0.675867,-1,,,,,,,,,,,,,,,,
1.041394,left_вперёд,10928,273326,25008,2,0,0.000000,0.000000,0.000000,2.796308,0,16,0,1552,120,0,0.006915,0.000246,0.070977,0.210837,2.162428,-1,,,,,,,,,,,,,,,,
1.065253,left_вперёд,10929,273350,25004,2,0,0.000000,0.000000,0.000000,3.845539,0,22,0,1573,120,0,0.014123,0.001028,0.145335,0.289947,2.973813,-1,,,,,,,,,,,,,,,,
1.091570,left_вперёд,10930,273375,24996,2,0,0.000000,0.000000,0.000000,3.846770,0,22,0,1596,120,0,0.021252,0.002344,0.219692,0.290040,2.974765,-1,,,,,,,,,,,,,,,,
1.115699,left_вперёд,10931,273400,24984,2,0,0.000000,0.000000,0.000000,4.373428,0,25,0,1620,120,0,0.029209,0.004477,0.304189,0.329749,3.382039,-1,,,,,,,,,,,,,,,,
1.141136,left_вперёд,10932,273425,25000,2,0,0.000000,0.000000,0.000000,4.370629,0,25,0,1645,120,0,0.036958,0.007275,0.388686,0.329538,3.379874,-1,,,,,,,,,,,,,,,,
1.167104,left_вперёд,10933,273451,25012,2,0,0.000000,0.000000,0.000000,4.368533,0,25,0,1671,120,0,0.044444,0.010716,0.473182,0.329380,3.378253,-1,,,,,,,,,,,,,,,,
1.192758,left_вперёд,10934,273475,24984,2,0,0.000000,0.000000,0.000000,4.548366,0,26,0,1697,120,0,0.051891,0.014952,0.561059,0.342939,3.517320,-1,,,,,,,,,,,,,,,,
1.218257,left_вперёд,10935,273500,25012,2,0,0.000000,0.000000,0.000000,4.543274,0,26,0,1723,120,0,0.058939,0.019825,0.648936,0.342555,3.513383,-1,,,,,,,,,,,,,,,,
1.243609,left_вперёд,10936,273525,25020,2,0,0.000000,0.000000,0.000000,4.716507,0,27,0,1750,120,0,0.065775,0.025520,0.740192,0.355616,3.647346,-1,,,,,,,,,,,,,,,,
1.268583,left_вперёд,10937,273550,24996,2,0,0.000000,0.000000,0.000000,4.546182,0,26,0,1775,120,0,0.071841,0.031571,0.828069,0.342774,3.515632,-1,,,,,,,,,,,,,,,,
1.293233,left_вперёд,10938,273575,24972,2,0,0.000000,0.000000,0.000000,4.550551,0,26,0,1802,120,0,0.077353,0.038131,0.915946,0.343104,3.519011,-1,,,,,,,,,,,,,,,,
1.318672,left_вперёд,10939,273600,25020,2,0,0.000000,0.000000,0.000000,4.541821,0,26,0,1828,120,0,0.082267,0.045149,1.003823,0.342445,3.512259,-1,,,,,,,,,,,,,,,,
1.344064,left_вперёд,10940,273626,24992,2,0,0.000000,0.000000,0.000000,4.546910,0,26,0,1854,120,0,0.086547,0.052571,1.091699,0.342829,3.516195,-1,,,,,,,,,,,,,,,,
1.368539,left_вперёд,10941,273650,25000,2,0,0.000000,0.000000,0.000000,4.720280,0,27,0,1880,120,0,0.090284,0.060646,1.182956,0.355901,3.650264,-1,,,,,,,,,,,,,,,,
1.396271,left_вперёд,10942,273675,25008,2,0,0.000000,0.000000,0.000000,4.544001,0,26,0,1907,120,0,0.093173,0.068712,1.270833,0.342610,3.513945,-1,,,,,,,,,,,,,,,,
1.421265,left_вперёд,10943,273700,24988,2,0,0.000000,0.000000,0.000000,4.547637,0,26,0,1933,120,0,0.095343,0.077001,1.358709,0.342884,3.516757,-1,,,,,,,,,,,,,,,,
1.444070,left_вперёд,10944,273725,25012,2,0,0.000000,0.000000,0.000000,4.543274,0,26,0,1959,120,0,0.096777,0.085448,1.446586,0.342555,3.513383,-1,,,,,,,,,,,,,,,,
1.469343,left_вперёд,10945,273751,24988,2,0,0.000000,0.000000,0.000000,4.547637,0,26,0,1985,120,0,0.097464,0.093988,1.534463,0.342884,3.516757,-1,,,,,,,,,,,,,,,,
1.496786,left_вперёд,10946,273775,25008,2,0,0.000000,0.000000,0.000000,4.544001,0,26,0,2011,120,0,0.097399,0.102556,1.622339,0.342610,3.513945,-1,,,,,,,,,,,,,,,,
