host_time_s,phase,seq,mcu_time_ms,dt_us,mode,flags,left_setpoint_rps,right_setpoint_rps,left_wheel_rps,right_wheel_rps,left_encoder_delta,right_encoder_delta,left_encoder_total,right_encoder_total,left_pwm,right_pwm,odom_x_m,odom_y_m,odom_heading_rad,current_linear_mps,current_angular_rps,sonar_distance_cm,left_setpoint_dbg,left_measured_dbg,left_error,left_p,left_i,left_ff,left_pid_out,left_out,right_setpoint_dbg,right_measured_dbg,right_error,right_p,right_i,right_ff,right_pid_out,right_out
0.597278,monitor,22887,572301,25012,0,2,0.000000,0.000000,0.000000,0.000000,0,0,125208,148458,0,0,-0.015445,0.096970,-0.344039,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.597278,monitor,22888,572325,24996,0,2,0.000000,0.000000,0.000000,0.000000,0,0,125208,148458,0,0,-0.015445,0.096970,-0.344039,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.597278,monitor,22889,572350,24992,0,2,0.000000,0.000000,0.000000,0.000000,0,0,125208,148458,0,0,-0.015445,0.096970,-0.344039,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.597278,monitor,22890,572376,25016,0,2,0.000000,0.000000,0.000000,0.000000,0,0,125208,148458,0,0,-0.015445,0.096970,-0.344039,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.597278,monitor,22891,572400,25016,0,2,0.000000,0.000000,0.000000,0.000000,0,0,125208,148458,0,0,-0.015445,0.096970,-0.344039,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.597278,monitor,22892,572426,24988,0,2,0.000000,0.000000,0.000000,0.000000,0,0,125208,148458,0,0,-0.015445,0.096970,-0.344039,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.597278,monitor,22893,572450,24984,0,2,0.000000,0.000000,0.000000,0.000000,0,0,125208,148458,0,0,-0.015445,0.096970,-0.344039,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.597278,monitor,22894,572475,25020,0,2,0.000000,0.000000,0.000000,0.000000,0,0,125208,148458,0,0,-0.015445,0.096970,-0.344039,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.597278,monitor,22895,572500,24984,0,2,0.000000,0.000000,0.000000,0.000000,0,0,125208,148458,0,0,-0.015445,0.096970,-0.344039,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.597278,monitor,22896,572525,25020,0,2,0.000000,0.000000,0.000000,0.000000,0,0,125208,148458,0,0,-0.015445,0.096970,-0.344039,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.597278,monitor,22897,572551,24980,0,2,0.000000,0.000000,0.000000,0.000000,0,0,125208,148458,0,0,-0.015445,0.096970,-0.344039,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.597278,monitor,22898,572575,24996,0,2,0.000000,0.000000,0.000000,0.000000,0,0,125208,148458,0,0,-0.015445,0.096970,-0.344039,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.806695,monitor,22899,572601,25020,1,0,0.000000,0.000000,0.000000,0.000000,0,0,125208,148458,0,0,-0.015445,0.096970,-0.344039,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.806695,monitor,22900,572625,25000,1,0,0.000000,0.000000,0.000000,0.000000,0,0,125208,148458,0,0,-0.015445,0.096970,-0.344039,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.806695,monitor,22901,572651,25000,1,0,0.000000,0.000000,0.000000,0.000000,0,0,125208,148458,0,0,-0.015445,0.096970,-0.344039,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.806695,monitor,22902,572676,24984,1,0,0.000000,0.000000,0.000000,0.000000,0,0,125208,148458,0,0,-0.015445,0.096970,-0.344039,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
