host_time_s,phase,seq,mcu_time_ms,dt_us,mode,flags,left_setpoint_rps,right_setpoint_rps,left_wheel_rps,right_wheel_rps,left_encoder_delta,right_encoder_delta,left_encoder_total,right_encoder_total,left_pwm,right_pwm,odom_x_m,odom_y_m,odom_heading_rad,current_linear_mps,current_angular_rps,sonar_distance_cm,left_setpoint_dbg,left_measured_dbg,left_error,left_p,left_i,left_ff,left_pid_out,left_out,right_setpoint_dbg,right_measured_dbg,right_error,right_p,right_i,right_ff,right_pid_out,right_out
1.001449,figure8_0.20_круг влево,10272,256925,25016,0,0,0.000000,0.000000,0.000000,0.000000,0,0,59861,64072,0,0,0.272160,0.280780,0.011211,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
1.001449,figure8_0.20_круг влево,10273,256951,24976,0,0,0.000000,0.000000,0.000000,0.000000,0,0,59861,64072,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
1.001449,figure8_0.20_круг влево,10274,256975,25012,0,0,0.000000,0.000000,0.000000,0.000000,0,0,59861,64072,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
1.001449,figure8_0.20_круг влево,10275,257001,24996,0,0,0.000000,0.000000,0.000000,0.000000,0,0,59861,64072,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
1.001449,figure8_0.20_круг влево,10276,257026,24992,0,0,0.000000,0.000000,0.000000,0.000000,0,0,59861,64072,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
1.001449,figure8_0.20_круг влево,10277,257050,25000,0,0,0.000000,0.000000,0.000000,0.000000,0,0,59861,64072,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
1.001449,figure8_0.20_круг влево,10278,257076,25000,0,0,0.000000,0.000000,0.000000,0.000000,0,0,59861,64072,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
1.001449,figure8_0.20_круг влево,10279,257100,24996,0,0,0.000000,0.000000,0.000000,0.000000,0,0,59861,64072,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
1.001449,figure8_0.20_круг влево,10280,257126,25012,0,0,0.000000,0.000000,0.000000,0.000000,0,0,59861,64072,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
1.001449,figure8_0.20_круг влево,10281,257150,25012,0,0,0.000000,0.000000,0.000000,0.000000,0,0,59861,64072,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
1.001449,figure8_0.20_круг влево,10282,257175,24992,0,0,0.000000,0.000000,0.000000,0.000000,0,0,59861,64072,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
1.001449,figure8_0.20_круг влево,10283,257201,24992,0,0,0.000000,0.000000,0.000000,0.000000,0,0,59861,64072,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
1.010855,figure8_0.20_круг влево,10284,257225,25000,0,0,0.000000,0.000000,0.000000,0.000000,0,0,59861,64072,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
1.036481,figure8_0.20_круг влево,10285,257251,25000,0,0,1.067664,1.584918,0.000000,0.000000,0,0,59861,64072,50,68,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
1.061841,figure8_0.20_круг влево,10286,257276,25004,0,0,1.067664,1.584918,0.386785,0.531830,8,11,59870,64084,47,63,0.001732,0.000002,0.002805,0.069262,0.112165,-1,,,,,,,,,,,,,,,,
1.087478,figure8_0.20_круг влево,10287,257301,25012,0,0,1.067664,1.584918,0.676658,1.014987,14,21,59883,64105,44,58,0.004922,0.000022,0.009349,0.127547,0.261635,-1,,,,,,,,,,,,,,,,
1.112957,figure8_0.20_круг влево,10288,257326,25028,0,0,1.067664,1.584918,0.772829,1.062640,16,22,59900,64127,43,58,0.008385,0.000064,0.014958,0.138391,0.224115,-1,,,,,,,,,,,,,,,,
1.138455,figure8_0.20_круг влево,10289,257351,24972,0,0,1.067664,1.584918,0.919792,1.210253,19,25,59920,64153,41,57,0.012395,0.000135,0.020567,0.160602,0.224618,-1,,,,,,,,,,,,,,,,
