host_time_s,phase,seq,mcu_time_ms,dt_us,mode,flags,left_setpoint_rps,right_setpoint_rps,left_wheel_rps,right_wheel_rps,left_encoder_delta,right_encoder_delta,left_encoder_total,right_encoder_total,left_pwm,right_pwm,odom_x_m,odom_y_m,odom_heading_rad,current_linear_mps,current_angular_rps,sonar_distance_cm,left_setpoint_dbg,left_measured_dbg,left_error,left_p,left_i,left_ff,left_pid_out,left_out,right_setpoint_dbg,right_measured_dbg,right_error,right_p,right_i,right_ff,right_pid_out,right_out
0.731618,left_вперёд,836,21025,25024,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.757173,left_вперёд,837,21050,25004,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,70,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.782192,left_вперёд,838,21075,24976,2,0,0.000000,0.000000,0.096805,0.000000,2,0,2,0,70,0,0.000095,-0.000000,-0.000974,0.003802,-0.038990,-1,,,,,,,,,,,,,,,,
0.810507,left_вперёд,839,21100,25120,2,0,0.000000,0.000000,0.240625,0.000000,5,0,7,0,70,0,0.000332,-0.000001,-0.003408,0.009449,-0.096916,-1,,,,,,,,,,,,,,,,
0.833189,left_вперёд,840,21125,24884,2,0,0.000000,0.000000,0.291488,0.000000,6,0,13,0,70,0,0.000617,-0.000002,-0.006330,0.011447,-0.117402,-1,,,,,,,,,,,,,,,,
0.858277,left_вперёд,841,21150,25000,2,0,0.000000,0.000000,0.386847,0.000000,8,0,21,0,70,0,0.000997,-0.000005,-0.010225,0.015191,-0.155810,-1,,,,,,,,,,,,,,,,
0.883993,left_вперёд,842,21175,25020,2,0,0.000000,0.000000,0.386538,0.000000,8,0,30,0,70,0,0.001377,-0.000010,-0.014120,0.015179,-0.155685,-1,,,,,,,,,,,,,,,,
0.910029,left_вперёд,843,21200,24980,2,0,0.000000,0.000000,0.483946,0.000000,10,0,39,0,70,0,0.001851,-0.000018,-0.018989,0.019005,-0.194918,-1,,,,,,,,,,,,,,,,
0.935557,left_вперёд,844,21225,25008,2,0,0.000000,0.000000,0.435064,0.000000,9,0,48,0,70,0,0.002279,-0.000027,-0.023371,0.017085,-0.175230,-1,,,,,,,,,,,,,,,,
0.961389,left_вперёд,845,21251,25000,2,0,0.000000,0.000000,0.483559,0.000000,10,0,58,0,70,0,0.002753,-0.000039,-0.028241,0.018989,-0.194762,-1,,,,,,,,,,,,,,,,
0.984523,left_вперёд,846,21275,24992,2,0,0.000000,0.000000,0.435342,0.000000,9,0,68,0,70,0,0.003180,-0.000052,-0.032623,0.017096,-0.175342,-1,,,,,,,,,,,,,,,,
1.010280,left_вперёд,847,21300,25016,2,0,0.000000,0.000000,0.483250,0.000000,10,0,77,0,70,0,0.003655,-0.000069,-0.037492,0.018977,-0.194638,-1,,,,,,,,,,,,,,,,
1.035587,left_вперёд,848,21325,24984,2,0,0.000000,0.000000,0.483869,0.000000,10,0,87,0,70,0,0.004129,-0.000087,-0.042361,0.019001,-0.194887,-1,,,,,,,,,,,,,,,,
1.061182,left_вперёд,849,21350,25000,2,0,0.000000,0.000000,0.483559,0.000000,10,0,97,0,70,0,0.004603,-0.000109,-0.047230,0.018989,-0.194762,-1,,,,,,,,,,,,,,,,
1.086658,left_вперёд,850,21376,25012,2,0,0.000000,0.000000,0.434994,0.000000,9,0,107,0,70,0,0.005030,-0.000130,-0.051612,0.017082,-0.175202,-1,,,,,,,,,,,,,,,,
1.112033,left_вперёд,851,21400,25004,2,0,0.000000,0.000000,0.483482,0.000000,10,0,116,0,70,0,0.005504,-0.000155,-0.056481,0.018986,-0.194731,-1,,,,,,,,,,,,,,,,
1.138150,left_вперёд,852,21426,25008,2,0,0.000000,0.000000,0.435064,0.000000,9,0,126,0,70,0,0.005931,-0.000181,-0.060863,0.017085,-0.175230,-1,,,,,,,,,,,,,,,,
1.163417,left_вперёд,853,21450,24988,2,0,0.000000,0.000000,0.483791,0.000000,10,0,135,0,70,0,0.006404,-0.000211,-0.065732,0.018998,-0.194856,-1,,,,,,,,,,,,,,,,
1.188095,left_вперёд,854,21475,25008,2,0,0.000000,0.000000,0.435064,0.000000,9,0,145,0,70,0,0.006831,-0.000240,-0.070114,0.017085,-0.175230,-1,,,,,,,,,,,,,,,,
1.213564,left_вперёд,855,21500,24984,2,0,0.000000,0.000000,0.483869,0.000000,10,0,154,0,70,0,0.007304,-0.000274,-0.074983,0.019001,-0.194887,-1,,,,,,,,,,,,,,,,
1.238280,left_вперёд,856,21525,25012,2,0,0.000000,0.000000,0.434994,0.000000,9,0,163,0,70,0,0.007730,-0.000307,-0.079366,0.017082,-0.175202,-1,,,,,,,,,,,,,,,,
1.263666,left_вперёд,857,21551,24976,2,0,0.000000,0.000000,0.435621,0.000000,9,0,173,0,70,0,0.008156,-0.000342,-0.083748,0.017107,-0.175454,-1,,,,,,,,,,,,,,,,
