wheel,direction,pwm,speed_rps,spread_rps
left,forward,0,0.000000,0.000000
left,forward,10,0.000000,0.000000
left,forward,20,0.000000,0.000000
left,forward,30,0.000000,0.000000
left,forward,40,0.000000,0.000000
left,forward,50,0.658972,0.175860
left,forward,60,1.062282,0.349203
left,forward,70,1.485954,0.175301
left,forward,80,1.821015,0.177146
left,forward,90,0.000000,0.000000
left,reverse,0,0.000000,0.000000
left,reverse,-10,0.000000,0.000000
left,reverse,-20,-0.014566,0.174797
left,reverse,-30,0.000000,0.000000
left,reverse,-40,0.000000,0.000000
left,reverse,-50,-0.553618,0.349762
left,reverse,-60,-0.903315,0.349594
left,reverse,-70,-1.194572,0.360612
left,reverse,-80,-1.631901,0.178295
left,reverse,-90,-1.995905,0.176755
left,reverse,-100,-2.593318,0.177708
left,reverse,-110,0.000000,0.000000
right,forward,0,0.000000,0.000000
right,forward,10,0.014559,0.174713
right,forward,20,0.000000,0.000000
right,forward,30,0.335036,0.347950
right,forward,40,0.684749,0.175525
right,forward,50,0.990674,0.176252
right,forward,60,1.719258,0.364915
right,forward,70,2.228873,0.349483
right,forward,80,2.331041,0.179357
right,forward,90,3.234259,0.180030
right,forward,100,3.161212,0.351721
right,reverse,0,0.000000,0.000000
right,reverse,-10,0.000000,0.000000
right,reverse,-20,-0.014576,0.174909
right,reverse,-30,0.000000,0.000000
right,reverse,-40,0.000000,0.000000
right,reverse,-50,0.000000,0.000000
right,reverse,-60,-0.014559,0.174713
right,reverse,-70,-1.821161,0.178350
right,reverse,-80,-2.753444,0.176616
right,reverse,-90,-2.855933,0.177595
right,reverse,-100,-3.671309,0.351440
right,reverse,-110,-3.817330,0.347943
right,reverse,-120,-4.443667,0.181928
right,reverse,-130,-4.807878,0.181764
right,reverse,-140,-5.405160,0.352224
right,reverse,-150,-5.812951,0.357811
right,reverse,-160,-6.220845,0.518682
right,reverse,-170,-6.410359,0.516470
right,reverse,-180,-6.919651,0.344685
right,reverse,-190,-7.299236,0.184236
right,reverse,-200,-0.174809,0.349594
