wheel,direction,pwm,speed_rps,spread_rps
left,forward,0,0.000000,0.000000
left,forward,10,0.036271,0.096727
left,forward,20,0.479537,0.096921
left,forward,30,0.914700,0.098011
left,forward,40,1.293530,0.049401
left,forward,50,1.736725,0.096410
left,forward,60,2.168241,0.094282
left,forward,70,2.594992,0.050848
left,forward,80,3.010100,0.094321
left,forward,90,3.429237,0.047844
left,forward,100,3.836286,0.056926
left,forward,110,4.343799,0.095977
left,forward,120,4.682639,0.089937
left,forward,130,5.049150,0.093609
left,forward,140,5.548324,0.063459
left,forward,150,5.988074,0.058917
left,forward,160,6.181413,0.055286
left,forward,170,6.547148,0.106214
left,forward,180,7.092382,0.052927
left,forward,190,7.664510,0.056945
left,forward,200,7.969811,0.096603
left,reverse,0,0.000000,0.000000
left,reverse,-10,0.000000,0.000000
left,reverse,-20,-0.386827,0.096225
left,reverse,-30,-0.805951,0.049781
left,reverse,-40,-1.208852,0.098678
left,reverse,-50,-1.611889,0.057380
left,reverse,-60,-2.083409,0.096123
left,reverse,-70,-2.510445,0.097911
left,reverse,-80,-2.881010,0.052950
left,reverse,-90,-3.344751,0.053714
left,reverse,-100,-3.775944,0.097401
left,reverse,-110,-4.187156,0.055733
left,reverse,-120,-4.625915,0.095946
left,reverse,-130,-5.020819,0.051576
left,reverse,-140,-5.448176,0.058812
left,reverse,-150,-5.875242,0.060547
left,reverse,-160,-6.262170,0.099763
left,reverse,-170,-6.684754,0.059072
left,reverse,-180,-7.108604,0.098970
left,reverse,-190,-7.547645,0.101522
left,reverse,-200,-7.950297,0.052160
right,forward,0,0.000000,0.000000
right,forward,10,0.052387,0.096805
right,forward,20,0.535918,0.097207
right,forward,30,1.015535,0.094732
right,forward,40,1.422398,0.050854
right,forward,50,1.869734,0.096681
right,forward,60,2.312988,0.095923
right,forward,70,2.772378,0.104343
right,forward,80,3.203497,0.101333
right,forward,90,3.642863,0.101926
right,forward,100,4.065655,0.097339
right,forward,110,4.344493,0.053236
right,forward,120,4.923643,0.087167
right,forward,130,5.367784,0.138955
right,forward,140,5.757912,0.079253
right,forward,150,6.201560,0.139038
right,forward,160,6.652692,0.053689
right,forward,170,7.100066,0.087551
right,forward,180,7.486797,0.091873
right,forward,190,7.902254,0.095474
right,forward,200,8.334329,0.055015
right,reverse,0,0.000000,0.000000
right,reverse,-10,-0.116853,0.048464
right,reverse,-20,-0.523854,0.048611
right,reverse,-30,-0.874477,0.096774
right,reverse,-40,-1.370167,0.050103
right,reverse,-50,-1.793178,0.051257
right,reverse,-60,-2.184180,0.097114
right,reverse,-70,-2.703929,0.144278
right,reverse,-80,-3.090750,0.098141
right,reverse,-90,-3.546329,0.097905
right,reverse,-100,-3.977060,0.101178
right,reverse,-110,-4.347943,0.051169
right,reverse,-120,-4.839552,0.099807
right,reverse,-130,-5.278639,0.097548
right,reverse,-140,-5.726443,0.135777
right,reverse,-150,-6.108145,0.061073
right,reverse,-160,-6.532497,0.138608
right,reverse,-170,-7.004848,0.094482
right,reverse,-180,-7.458091,0.088404
right,reverse,-190,-7.780546,0.101694
right,reverse,-200,-8.164088,0.104486
