wheel,direction,pwm,speed_rps,spread_rps
right,forward,0,0.000000,0.000000
right,forward,10,0.000000,0.000000
right,forward,20,0.004032,0.048379
right,forward,30,0.000000,0.000000
right,forward,40,0.004030,0.048356
right,forward,50,0.274036,0.048666
right,forward,60,0.435169,0.096758
right,forward,70,0.576188,0.097137
right,forward,80,0.693140,0.097563
right,forward,90,0.813971,0.096619
right,forward,100,0.983374,0.118193
right,forward,110,1.023630,0.098182
right,forward,120,1.249265,0.097726
right,forward,130,1.301524,0.146901
right,forward,140,1.333811,0.050058
right,forward,150,1.507080,0.144001
right,forward,160,1.648355,0.147484
right,forward,170,0.161182,0.338600
right,reverse,0,0.000000,0.000000
right,reverse,-10,0.000000,0.000000
right,reverse,-20,-0.004027,0.048325
right,reverse,-30,-0.020192,0.097728
right,reverse,-40,-0.177317,0.096642
right,reverse,-50,-0.290163,0.000557
right,reverse,-60,-0.406993,0.049075
right,reverse,-70,-0.588347,0.097184
right,reverse,-80,-0.644793,0.049718
right,reverse,-90,-0.809984,0.096696
right,reverse,-100,-0.914733,0.145842
right,reverse,-110,-1.104209,0.096665
right,reverse,-120,-1.124236,0.050166
