host_time_s,phase,seq,mcu_time_ms,dt_us,mode,flags,left_setpoint_rps,right_setpoint_rps,left_wheel_rps,right_wheel_rps,left_encoder_delta,right_encoder_delta,left_encoder_total,right_encoder_total,left_pwm,right_pwm,odom_x_m,odom_y_m,odom_heading_rad,current_linear_mps,current_angular_rps,sonar_distance_cm,left_setpoint_dbg,left_measured_dbg,left_error,left_p,left_i,left_ff,left_pid_out,left_out,right_setpoint_dbg,right_measured_dbg,right_error,right_p,right_i,right_ff,right_pid_out,right_out
0.736816,left_вперёд,156,4025,25004,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,120,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.764976,left_вперёд,157,4050,24980,2,0,0.000000,0.000000,1.049791,0.000000,6,0,6,0,120,0,0.001977,-0.000020,-0.020279,0.079152,-0.811819,-1,,,,,,,,,,,,,,,,
0.787851,left_вперёд,158,4075,25016,2,0,0.000000,0.000000,2.271274,0.000000,13,0,20,0,120,0,0.006257,-0.000201,-0.064218,0.171250,-1.756410,-1,,,,,,,,,,,,,,,,
0.815736,left_вперёд,159,4101,24984,2,0,0.000000,0.000000,2.973932,0.000000,17,0,36,0,120,0,0.011835,-0.000721,-0.121675,0.224229,-2.299787,-1,,,,,,,,,,,,,,,,
0.840518,left_вперёд,160,4125,25028,2,0,0.000000,0.000000,3.143333,0.000000,18,0,54,0,120,0,0.017698,-0.001620,-0.182513,0.237002,-2.430787,-1,,,,,,,,,,,,,,,,
0.864256,left_вперёд,161,4150,24972,2,0,0.000000,0.000000,3.325403,0.000000,19,0,73,0,120,0,0.023816,-0.002953,-0.246731,0.250730,-2.571585,-1,,,,,,,,,,,,,,,,
0.890286,left_вперёд,162,4175,25016,2,0,0.000000,0.000000,3.319554,0.000000,19,0,92,0,120,0,0.029835,-0.004676,-0.310948,0.250288,-2.567061,-1,,,,,,,,,,,,,,,,
0.916686,left_вперёд,163,4200,25008,2,0,0.000000,0.000000,3.495385,0.000000,20,0,112,0,120,0,0.036038,-0.006904,-0.378546,0.263546,-2.703034,-1,,,,,,,,,,,,,,,,
0.942118,left_вперёд,164,4226,24996,2,0,0.000000,0.000000,3.322210,0.000000,19,0,132,0,120,0,0.041779,-0.009403,-0.442764,0.250489,-2.569116,-1,,,,,,,,,,,,,,,,
0.965671,left_вперёд,165,4250,24992,2,0,0.000000,0.000000,3.497623,0.000000,20,0,152,0,120,0,0.047635,-0.012427,-0.510361,0.263715,-2.704765,-1,,,,,,,,,,,,,,,,
0.991910,left_вперёд,166,4275,25000,2,0,0.000000,0.000000,3.496504,0.000000,20,0,172,0,120,0,0.053274,-0.015839,-0.577959,0.263630,-2.703900,-1,,,,,,,,,,,,,,,,
1.017794,left_вперёд,167,4300,25000,2,0,0.000000,0.000000,3.496504,0.000000,20,0,192,0,120,0,0.058670,-0.019624,-0.645556,0.263630,-2.703900,-1,,,,,,,,,,,,,,,,
1.041759,left_вперёд,168,4325,25012,2,0,0.000000,0.000000,3.494826,0.000000,20,0,212,0,120,0,0.063797,-0.023765,-0.713154,0.263504,-2.702602,-1,,,,,,,,,,,,,,,,
