host_time_s,phase,seq,mcu_time_ms,dt_us,mode,flags,left_setpoint_rps,right_setpoint_rps,left_wheel_rps,right_wheel_rps,left_encoder_delta,right_encoder_delta,left_encoder_total,right_encoder_total,left_pwm,right_pwm,odom_x_m,odom_y_m,odom_heading_rad,current_linear_mps,current_angular_rps,sonar_distance_cm,left_setpoint_dbg,left_measured_dbg,left_error,left_p,left_i,left_ff,left_pid_out,left_out,right_setpoint_dbg,right_measured_dbg,right_error,right_p,right_i,right_ff,right_pid_out,right_out
0.720370,left_вперёд,8214,205475,25008,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.743255,left_вперёд,8215,205500,25004,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,70,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.768521,left_вперёд,8216,205526,24992,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,70,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.793590,left_вперёд,8217,205550,25016,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,70,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.820904,left_вперёд,8218,205576,24984,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,70,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.846567,left_вперёд,8219,205600,25004,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,70,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.869882,left_вперёд,8220,205625,25000,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,70,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.895869,left_вперёд,8221,205650,24988,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,70,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.921534,left_вперёд,8222,205675,25012,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,70,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.947176,left_вперёд,8223,205701,24988,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,70,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.972678,left_вперёд,8224,205725,25008,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,70,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.998518,left_вперёд,8225,205751,25012,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,70,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
1.021620,left_вперёд,8226,205775,25004,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,70,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
1.047993,left_вперёд,8227,205800,24984,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,70,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
1.073086,left_вперёд,8228,205826,24992,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,70,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
1.097903,left_вперёд,8229,205850,25008,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,70,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
1.123205,left_вперёд,8230,205876,25004,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,70,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
1.148648,left_вперёд,8231,205900,24996,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,70,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
1.173485,left_вперёд,8232,205925,25024,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,70,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
1.198915,left_вперёд,8233,205950,24980,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,70,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
1.225555,left_вперёд,8234,205975,25012,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,70,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
1.250651,left_вперёд,8235,206001,24996,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,70,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
1.276019,left_вперёд,8236,206025,25004,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,70,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
1.300718,left_вперёд,8237,206050,24976,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,70,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
1.325999,left_вперёд,8238,206075,25004,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,70,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
1.351417,left_вперёд,8239,206100,25060,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,70,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
1.376766,left_вперёд,8240,206126,24952,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,70,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
1.402096,left_вперёд,8241,206150,25012,2,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,70,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
