host_time_s,phase,seq,mcu_time_ms,dt_us,mode,flags,left_setpoint_rps,right_setpoint_rps,left_wheel_rps,right_wheel_rps,left_encoder_delta,right_encoder_delta,left_encoder_total,right_encoder_total,left_pwm,right_pwm,odom_x_m,odom_y_m,odom_heading_rad,current_linear_mps,current_angular_rps,sonar_distance_cm,left_setpoint_dbg,left_measured_dbg,left_error,left_p,left_i,left_ff,left_pid_out,left_out,right_setpoint_dbg,right_measured_dbg,right_error,right_p,right_i,right_ff,right_pid_out,right_out
0.821226,rectangle_0.15_сторона 1,19316,483025,25016,0,0,0.000000,0.000000,0.000000,0.000000,0,0,120233,137130,0,0,-0.008268,0.095387,-0.296358,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.821226,rectangle_0.15_сторона 1,19317,483051,25000,0,0,0.000000,0.000000,0.000000,0.000000,0,0,120233,137130,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.821226,rectangle_0.15_сторона 1,19318,483076,24996,0,0,0.000000,0.000000,0.000000,0.000000,0,0,120233,137130,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.821226,rectangle_0.15_сторона 1,19319,483100,24976,0,0,0.000000,0.000000,0.000000,0.000000,0,0,120233,137130,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.821226,rectangle_0.15_сторона 1,19320,483126,25028,0,0,0.000000,0.000000,0.000000,0.000000,0,0,120233,137130,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.821226,rectangle_0.15_сторона 1,19321,483150,24976,0,0,0.000000,0.000000,0.000000,0.000000,0,0,120233,137130,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.821226,rectangle_0.15_сторона 1,19322,483176,25028,0,0,0.000000,0.000000,0.000000,0.000000,0,0,120233,137130,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.821226,rectangle_0.15_сторона 1,19323,483201,24976,0,0,0.000000,0.000000,0.000000,0.000000,0,0,120233,137130,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.821226,rectangle_0.15_сторона 1,19324,483225,25004,0,0,0.000000,0.000000,0.000000,0.000000,0,0,120233,137130,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.821226,rectangle_0.15_сторона 1,19325,483251,25008,0,0,0.000000,0.000000,0.000000,0.000000,0,0,120233,137130,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.821226,rectangle_0.15_сторона 1,19326,483275,24992,0,0,0.000000,0.000000,0.000000,0.000000,0,0,120233,137130,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.821226,rectangle_0.15_сторона 1,19327,483301,24988,0,0,0.000000,0.000000,0.000000,0.000000,0,0,120233,137130,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.835138,rectangle_0.15_сторона 1,19328,483325,25008,0,0,0.000000,0.000000,0.000000,0.000000,0,0,120233,137130,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.855835,rectangle_0.15_сторона 1,19329,483351,24992,0,0,0.994718,0.994718,0.000000,0.000000,0,0,120233,137130,48,45,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.888110,rectangle_0.15_сторона 1,19330,483376,25000,0,0,0.994718,0.994718,0.290135,0.290135,6,6,120240,137136,45,43,0.001094,0.000000,0.000000,0.043751,0.000000,-1,,,,,,,,,,,,,,,,
0.905850,rectangle_0.15_сторона 1,19331,483401,25028,0,0,0.994718,0.994718,0.579622,0.483018,12,10,120251,137146,42,41,0.003099,-0.000002,-0.001870,0.080121,-0.074705,-1,,,,,,,,,,,,,,,,
0.931174,rectangle_0.15_сторона 1,19332,483426,24996,0,0,0.994718,0.994718,0.532000,0.483636,11,10,120263,137157,44,42,0.005013,-0.000006,-0.002805,0.076577,-0.037400,-1,,,,,,,,,,,,,,,,
0.956511,rectangle_0.15_сторона 1,19333,483451,24988,0,0,0.994718,0.994718,0.822445,0.870824,17,18,120280,137175,40,37,0.008203,-0.000014,-0.001870,0.127670,0.037412,-1,,,,,,,,,,,,,,,,
0.981870,rectangle_0.15_сторона 1,19334,483476,24996,0,0,0.994718,0.994718,1.064000,0.918909,22,19,120302,137194,37,37,0.011940,-0.000026,-0.004674,0.149508,-0.112201,-1,,,,,,,,,,,,,,,,
1.007619,rectangle_0.15_сторона 1,19335,483501,25020,0,0,0.994718,0.994718,0.966345,0.918028,20,19,120322,137213,38,37,0.015495,-0.000044,-0.005609,0.142078,-0.037364,-1,,,,,,,,,,,,,,,,
1.033679,rectangle_0.15_сторона 1,19336,483526,24972,0,0,0.994718,0.994718,0.871382,0.968202,18,20,120340,137233,40,36,0.018959,-0.000060,-0.003739,0.138701,0.074873,-1,,,,,,,,,,,,,,,,
1.059231,rectangle_0.15_сторона 1,19337,483551,25020,0,0,0.994718,0.994718,1.014662,1.062979,21,22,120361,137255,38,35,0.022878,-0.000073,-0.002805,0.156651,0.037364,-1,,,,,,,,,,,,,,,,
1.084715,rectangle_0.15_сторона 1,19338,483576,24988,0,0,0.994718,0.994718,1.064341,0.967583,22,20,120383,137275,37,36,0.026706,-0.000088,-0.004674,0.153203,-0.074825,-1,,,,,,,,,,,,,,,,
1.108694,rectangle_0.15_сторона 1,19339,483601,24996,0,0,0.994718,0.994718,1.015636,1.015636,21,21,120404,137296,38,36,0.030535,-0.000106,-0.004674,0.153154,0.000000,-1,,,,,,,,,,,,,,,,
1.135473,rectangle_0.15_сторона 1,19340,483625,25012,0,0,0.994718,0.994718,0.918321,1.063320,19,22,120423,137318,39,35,0.034272,-0.000118,-0.001870,0.149412,0.112129,-1,,,,,,,,,,,,,,,,
1.159250,rectangle_0.15_сторона 1,19341,483651,24984,0,0,0.994718,0.994718,1.064511,1.064511,22,22,120445,137340,37,35,0.038282,-0.000125,-0.001870,0.160525,0.000000,-1,,,,,,,,,,,,,,,,
1.185345,rectangle_0.15_сторона 1,19342,483676,25020,0,0,0.994718,0.994718,1.111297,0.966345,23,20,120468,137360,36,36,0.042202,-0.000138,-0.004674,0.156651,-0.112093,-1,,,,,,,,,,,,,,,,
1.209162,rectangle_0.15_сторона 1,19343,483701,25000,0,0,0.994718,0.994718,0.918762,1.063830,19,22,120488,137382,39,35,0.045939,-0.000150,-0.001870,0.149484,0.112183,-1,,,,,,,,,,,,,,,,
1.234693,rectangle_0.15_сторона 1,19344,483726,25000,0,0,0.994718,0.994718,0.967118,1.015474,20,21,120508,137404,38,35,0.049676,-0.000156,-0.000935,0.149484,0.037394,-1,,,,,,,,,,,,,,,,
1.261150,rectangle_0.15_сторона 1,19345,483751,25004,0,0,0.994718,0.994718,1.063660,1.063660,22,22,120529,137425,37,35,0.053686,-0.000159,-0.000935,0.160396,0.000000,-1,,,,,,,,,,,,,,,,
1.287108,rectangle_0.15_сторона 1,19346,483776,24980,0,0,0.994718,0.994718,1.064682,0.967892,22,20,120551,137445,37,36,0.057515,-0.000166,-0.002805,0.153252,-0.074849,-1,,,,,,,,,,,,,,,,
1.312834,rectangle_0.15_сторона 1,19347,483801,25020,0,0,0.994718,0.994718,0.966345,1.062979,20,22,120571,137467,38,35,0.061343,-0.000174,-0.000935,0.153007,0.074729,-1,,,,,,,,,,,,,,,,
1.335807,rectangle_0.15_сторона 1,19348,483826,25000,0,0,0.994718,0.994718,0.967118,1.063830,20,22,120591,137489,38,34,0.065171,-0.000174,0.000935,0.153130,0.074789,-1,,,,,,,,,,,,,,,,
1.361411,rectangle_0.15_сторона 1,19349,483851,24992,0,0,0.994718,0.994718,1.064170,1.015799,22,21,120614,137510,37,35,0.069090,-0.000172,-0.000000,0.156826,-0.037406,-1,,,,,,,,,,,,,,,,
1.386850,rectangle_0.15_сторона 1,19350,483876,25008,0,0,0.994718,0.994718,1.063490,0.966809,22,20,120635,137530,37,36,0.072919,-0.000175,-0.001870,0.153081,-0.074765,-1,,,,,,,,,,,,,,,,
1.412315,rectangle_0.15_сторона 1,19351,483901,24976,0,0,0.994718,0.994718,0.919645,1.016450,19,21,120654,137551,39,35,0.076565,-0.000179,-0.000000,0.145978,0.074861,-1,,,,,,,,,,,,,,,,
1.437649,rectangle_0.15_сторона 1,19352,483926,25048,0,0,0.994718,0.994718,0.965265,1.061791,20,22,120674,137573,38,34,0.080393,-0.000175,0.001870,0.152836,0.074645,-1,,,,,,,,,,,,,,,,
1.462789,rectangle_0.15_сторона 1,19353,483951,24952,0,0,0.994718,0.994718,1.114325,0.968979,23,20,120697,137593,36,35,0.084312,-0.000173,-0.000935,0.157077,-0.112399,-1,,,,,,,,,,,,,,,,
1.488371,rectangle_0.15_сторона 1,19354,483976,25008,0,0,0.994718,0.994718,0.966809,0.966809,20,20,120717,137613,38,36,0.087958,-0.000177,-0.000935,0.145791,0.000000,-1,,,,,,,,,,,,,,,,
1.513414,rectangle_0.15_сторона 1,19355,484001,24992,0,0,0.994718,0.994718,0.919056,1.015799,19,21,120736,137634,39,35,0.091604,-0.000177,0.000935,0.145885,0.074813,-1,,,,,,,,,,,,,,,,
1.538466,rectangle_0.15_сторона 1,19356,484026,25044,0,0,0.994718,0.994718,1.061961,1.013690,22,21,120758,137655,37,35,0.095524,-0.000175,0.000000,0.156500,-0.037329,-1,,,,,,,,,,,,,,,,
1.564308,rectangle_0.15_сторона 1,19357,484051,24964,0,0,0.994718,0.994718,1.065364,0.968513,22,20,120780,137675,37,36,0.099352,-0.000179,-0.001870,0.153351,-0.074897,-1,,,,,,,,,,,,,,,,
1.589717,rectangle_0.15_сторона 1,19358,484076,25020,0,0,0.994718,0.994718,0.966345,1.014662,20,21,120800,137696,38,35,0.103089,-0.000184,-0.000935,0.149364,0.037364,-1,,,,,,,,,,,,,,,,
