host_time_s,phase,seq,mcu_time_ms,dt_us,mode,flags,left_setpoint_rps,right_setpoint_rps,left_wheel_rps,right_wheel_rps,left_encoder_delta,right_encoder_delta,left_encoder_total,right_encoder_total,left_pwm,right_pwm,odom_x_m,odom_y_m,odom_heading_rad,current_linear_mps,current_angular_rps,sonar_distance_cm,left_setpoint_dbg,left_measured_dbg,left_error,left_p,left_i,left_ff,left_pid_out,left_out,right_setpoint_dbg,right_measured_dbg,right_error,right_p,right_i,right_ff,right_pid_out,right_out
0.480278,right_sp2.00_kp39_ki107.5_kd3.53,16981,424902,24996,0,0,0.000000,0.000000,0.000000,0.000000,0,0,57487,95740,0,0,-0.514467,0.274913,-1.261133,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.505545,right_sp2.00_kp39_ki107.5_kd3.53,16982,424928,25000,1,8,0.000000,2.000000,0.000000,0.000000,0,0,57487,95740,0,229,-0.514467,0.274913,-1.261133,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.531925,right_sp2.00_kp39_ki107.5_kd3.53,16983,424953,24980,1,0,0.000000,2.000000,0.000000,1.355049,0,28,57487,95771,0,-112,-0.513658,0.272492,-1.234957,0.102168,1.047880,-1,,,,,,,,,,,,,,,,
0.555175,right_sp2.00_kp39_ki107.5_kd3.53,16984,424978,25024,1,0,0.000000,2.000000,0.000000,1.739143,0,36,57487,95804,0,11,-0.512524,0.269413,-1.201302,0.131128,1.344906,-1,,,,,,,,,,,,,,,,
0.581574,right_sp2.00_kp39_ki107.5_kd3.53,16985,425003,24992,1,8,0.000000,2.000000,0.000000,0.386971,0,8,57487,95812,0,229,-0.512258,0.268734,-1.193824,0.029177,0.299251,-1,,,,,,,,,,,,,,,,
0.606622,right_sp2.00_kp39_ki107.5_kd3.53,16986,425028,25008,1,0,0.000000,2.000000,0.000000,1.595234,0,33,57487,95848,0,-98,-0.511108,0.265954,-1.162973,0.120278,1.233619,-1,,,,,,,,,,,,,,,,
0.631743,right_sp2.00_kp39_ki107.5_kd3.53,16987,425053,24984,1,0,0.000000,2.000000,0.000000,2.032248,0,42,57487,95888,0,-5,-0.509521,0.262471,-1.123709,0.153228,1.571569,-1,,,,,,,,,,,,,,,,
0.658009,right_sp2.00_kp39_ki107.5_kd3.53,16988,425078,25016,1,8,0.000000,2.000000,0.000000,0.241625,0,5,57487,95892,0,229,-0.509323,0.262060,-1.119035,0.018218,0.186852,-1,,,,,,,,,,,,,,,,
0.683858,right_sp2.00_kp39_ki107.5_kd3.53,16989,425103,25000,1,0,0.000000,2.000000,0.000000,1.353965,0,28,57487,95923,0,-74,-0.508179,0.259779,-1.092859,0.102087,1.047042,-1,,,,,,,,,,,,,,,,
0.707839,right_sp2.00_kp39_ki107.5_kd3.53,16990,425127,24984,1,0,0.000000,2.000000,0.000000,1.983862,0,41,57487,95962,0,-29,-0.506397,0.256494,-1.054530,0.149580,1.534150,-1,,,,,,,,,,,,,,,,
0.734114,right_sp2.00_kp39_ki107.5_kd3.53,16991,425153,25000,1,8,0.000000,2.000000,0.000000,0.290135,0,6,57487,95967,0,229,-0.506125,0.256019,-1.048920,0.021876,0.224366,-1,,,,,,,,,,,,,,,,
0.758507,right_sp2.00_kp39_ki107.5_kd3.53,16992,425178,24996,1,0,0.000000,2.000000,0.000000,1.305818,0,27,57487,95996,0,-57,-0.504872,0.253901,-1.023679,0.098456,1.009809,-1,,,,,,,,,,,,,,,,
0.785116,right_sp2.00_kp39_ki107.5_kd3.53,16993,425203,25012,1,0,0.000000,2.000000,0.000000,2.029974,0,42,57487,96037,0,-42,-0.502816,0.250672,-0.984415,0.153056,1.569809,-1,,,,,,,,,,,,,,,,
0.809327,right_sp2.00_kp39_ki107.5_kd3.53,16994,425228,25008,1,8,0.000000,2.000000,0.000000,0.338383,0,7,57487,96043,0,229,-0.502462,0.250141,-0.977871,0.025513,0.261677,-1,,,,,,,,,,,,,,,,
0.836423,right_sp2.00_kp39_ki107.5_kd3.53,16995,425252,25000,1,0,0.000000,2.000000,0.000000,1.160542,0,24,57487,96069,0,-22,-0.501219,0.248341,-0.955435,0.087503,0.897465,-1,,,,,,,,,,,,,,,,
0.860399,right_sp2.00_kp39_ki107.5_kd3.53,16996,425278,24984,1,0,0.000000,2.000000,0.000000,2.129022,0,44,57487,96112,0,-78,-0.498837,0.245115,-0.914301,0.160525,1.646405,-1,,,,,,,,,,,,,,,,
