host_time_s,phase,seq,mcu_time_ms,dt_us,mode,flags,left_setpoint_rps,right_setpoint_rps,left_wheel_rps,right_wheel_rps,left_encoder_delta,right_encoder_delta,left_encoder_total,right_encoder_total,left_pwm,right_pwm,odom_x_m,odom_y_m,odom_heading_rad,current_linear_mps,current_angular_rps,sonar_distance_cm,left_setpoint_dbg,left_measured_dbg,left_error,left_p,left_i,left_ff,left_pid_out,left_out,right_setpoint_dbg,right_measured_dbg,right_error,right_p,right_i,right_ff,right_pid_out,right_out
0.946501,triangle_0.20_сторона A,5057,126551,24980,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.946501,triangle_0.20_сторона A,5058,126575,24996,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.946501,triangle_0.20_сторона A,5059,126601,25016,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.946501,triangle_0.20_сторона A,5060,126625,24988,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.946501,triangle_0.20_сторона A,5061,126651,24988,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.946501,triangle_0.20_сторона A,5062,126675,25016,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.946501,triangle_0.20_сторона A,5063,126700,24996,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.946501,triangle_0.20_сторона A,5064,126726,25008,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.946501,triangle_0.20_сторона A,5065,126750,24988,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.946501,triangle_0.20_сторона A,5066,126776,25012,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.946501,triangle_0.20_сторона A,5067,126800,24988,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.946501,triangle_0.20_сторона A,5068,126826,24984,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.946501,triangle_0.20_сторона A,5069,126851,25020,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.971557,triangle_0.20_сторона A,5070,126875,25000,0,0,1.326291,1.326291,0.000000,0.000000,0,0,0,0,60,58,0.000000,0.000000,0.000000,0.000000,0.000000,-1,,,,,,,,,,,,,,,,
0.994868,triangle_0.20_сторона A,5071,126901,25008,0,0,1.326291,1.326291,0.386723,0.386723,8,8,8,9,57,55,0.001458,0.000000,0.000000,0.058317,0.000000,-1,,,,,,,,,,,,,,,,
1.022964,triangle_0.20_сторона A,5072,126926,24972,0,0,1.326291,1.326291,0.629332,0.677742,13,14,22,23,56,52,0.003919,0.000001,0.000935,0.098551,0.037436,-1,,,,,,,,,,,,,,,,
1.045844,triangle_0.20_сторона A,5073,126951,25028,0,0,1.326291,1.326291,1.014338,0.724527,21,15,43,38,51,53,0.007201,-0.000005,-0.004674,0.131107,-0.224115,-1,,,,,,,,,,,,,,,,
1.071427,triangle_0.20_сторона A,5074,126976,25008,0,0,1.326291,1.326291,1.015149,1.015149,21,21,64,59,52,49,0.011029,-0.000023,-0.004674,0.153081,0.000000,-1,,,,,,,,,,,,,,,,
1.096672,triangle_0.20_сторона A,5075,127001,24992,0,0,1.326291,1.326291,1.112542,1.209285,23,25,87,85,51,47,0.015404,-0.000039,-0.002805,0.175062,0.074813,-1,,,,,,,,,,,,,,,,
1.122101,triangle_0.20_сторона A,5076,127026,24996,0,0,1.326291,1.326291,1.305818,1.305818,27,27,114,111,48,46,0.020326,-0.000053,-0.002805,0.196913,0.000000,-1,,,,,,,,,,,,,,,,
1.147554,triangle_0.20_сторона A,5077,127051,24996,0,0,1.326291,1.326291,1.160727,1.257455,24,26,138,137,51,47,0.024883,-0.000062,-0.000935,0.182327,0.074801,-1,,,,,,,,,,,,,,,,
1.173003,triangle_0.20_сторона A,5078,127076,24992,0,0,1.326291,1.326291,1.160913,1.257656,24,26,162,164,51,47,0.029441,-0.000062,0.000935,0.182356,0.074813,-1,,,,,,,,,,,,,,,,
1.198315,triangle_0.20_сторона A,5079,127101,25012,0,0,1.326291,1.326291,1.401648,1.401648,29,29,191,193,48,45,0.034728,-0.000057,0.000935,0.211364,0.000000,-1,,,,,,,,,,,,,,,,
1.223778,triangle_0.20_сторона A,5080,127126,24992,0,0,1.326291,1.326291,1.306027,1.257656,27,26,218,218,49,47,0.039558,-0.000054,-0.000000,0.193297,-0.037406,-1,,,,,,,,,,,,,,,,
1.254175,triangle_0.20_сторона A,5081,127151,25008,0,0,1.326291,1.326291,1.208511,1.256851,25,26,243,244,51,47,0.044207,-0.000052,0.000935,0.185884,0.037382,-1,,,,,,,,,,,,,,,,
1.274630,triangle_0.20_сторона A,5082,127176,24996,0,0,1.326291,1.326291,1.450909,1.402546,30,29,273,274,47,45,0.049585,-0.000050,-0.000000,0.215145,-0.037400,-1,,,,,,,,,,,,,,,,
1.299892,triangle_0.20_сторона A,5083,127201,24988,0,0,1.326291,1.326291,1.306236,1.354615,27,28,300,301,49,46,0.054598,-0.000047,0.000935,0.200624,0.037412,-1,,,,,,,,,,,,,,,,
1.324783,triangle_0.20_сторона A,5084,127226,25012,0,0,1.326291,1.326291,1.208318,1.304983,25,27,326,328,51,46,0.059338,-0.000038,0.002805,0.189498,0.074753,-1,,,,,,,,,,,,,,,,
1.349973,triangle_0.20_сторона A,5085,127251,24980,0,0,1.326291,1.326291,1.451839,1.451839,30,30,356,358,47,44,0.064807,-0.000023,0.002805,0.218932,0.000000,-1,,,,,,,,,,,,,,,,
