timestamp_s,elapsed_s,event,key_code,command_linear_mps,command_angular_rps,target_left_wheel_mps,target_right_wheel_mps,seq,mcu_time_ms,dt_us,current_linear_mps,current_angular_rps,odom_x_m,odom_y_m,odom_heading_rad,left_encoder_delta,right_encoder_delta,left_wheel_rps,right_wheel_rps,left_pwm,right_pwm,sonar_distance_cm,flags,packet_hex,rx_bytes
1788458867.631719,2.029132,rx,-1,0.000000,0.000000,0.000000,0.000000,15,401,25004,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,0,,0
1788458867.696159,2.093724,rx,-1,0.000000,0.000000,0.000000,0.000000,16,425,24996,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,0,,0
1788458867.696239,2.093811,rx,-1,0.000000,0.000000,0.000000,0.000000,17,450,24992,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,0,,0
1788458867.696287,2.093860,rx,-1,0.000000,0.000000,0.000000,0.000000,18,476,25016,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,0,,0
1788458867.696332,2.093905,rx,-1,0.000000,0.000000,0.000000,0.000000,19,500,24964,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,0,,0
1788458867.696376,2.093949,rx,-1,0.000000,0.000000,0.000000,0.000000,20,525,25000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,2,,0
1788458867.696420,2.093993,rx,-1,0.000000,0.000000,0.000000,0.000000,21,550,25004,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,2,,0
1788458867.696463,2.094036,rx,-1,0.000000,0.000000,0.000000,0.000000,22,575,25000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,2,,0
1788458867.696510,2.094083,rx,-1,0.000000,0.000000,0.000000,0.000000,23,601,25012,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,2,,0
1788458867.696553,2.094126,rx,-1,0.000000,0.000000,0.000000,0.000000,24,625,24980,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,2,,0
1788458867.696596,2.094169,rx,-1,0.000000,0.000000,0.000000,0.000000,25,650,25028,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,2,,0
1788458867.696639,2.094212,rx,-1,0.000000,0.000000,0.000000,0.000000,26,675,25020,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,2,,0
1788458867.696681,2.094254,rx,-1,0.000000,0.000000,0.000000,0.000000,27,700,24980,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,2,,0
1788458867.696692,2.094265,startup,-1,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,aa5501090000000000000000004829,1020
1788458867.700092,2.097660,rx,-1,0.000000,0.000000,0.000000,0.000000,28,726,24996,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,2,,1020
1788458867.700178,2.097750,rx,-1,0.000000,0.000000,0.000000,0.000000,29,750,25004,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,2,,1020
1788458867.700227,2.097800,rx,-1,0.000000,0.000000,0.000000,0.000000,30,776,24980,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,2,,1020
1788458867.700274,2.097846,rx,-1,0.000000,0.000000,0.000000,0.000000,31,800,25040,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,2,,1020
1788458867.700319,2.097891,rx,-1,0.000000,0.000000,0.000000,0.000000,32,825,24964,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,2,,1020
1788458867.700362,2.097935,rx,-1,0.000000,0.000000,0.000000,0.000000,33,850,24996,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,2,,1020
1788458867.700405,2.097978,rx,-1,0.000000,0.000000,0.000000,0.000000,34,875,25000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,2,,1020
1788458867.700448,2.098021,rx,-1,0.000000,0.000000,0.000000,0.000000,35,901,25016,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,2,,1020
1788458867.700491,2.098064,rx,-1,0.000000,0.000000,0.000000,0.000000,36,925,24980,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,-1,2,,1020
