epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.78,1.51606,2.31474,0.01351,0.47134,0.4619,0.42654,0.12754,2.29994,1.80587,0.0234,0.000997093,0.000997093,0.0677607
2,267.31,1.44441,1.39321,0.01281,0.56007,0.66966,0.65479,0.23874,2.00781,1.31203,0.02079,0.00199661,0.00199661,0.0354268
3,360.218,1.38948,1.24205,0.01267,0.54525,0.77491,0.70874,0.35802,1.63019,1.36729,0.01757,0.00299417,0.00299417,0.00309106
4,451.133,1.32002,1.1562,0.01228,0.65324,0.7508,0.7432,0.43532,1.35182,1.27154,0.01448,0.00299341,0.00299341,0.00299341
5,545.18,1.29865,1.09119,0.01136,0.57343,0.82262,0.74996,0.4642,1.28215,1.00222,0.01421,0.00298829,0.00298829,0.00298829
6,638.328,1.30317,0.98588,0.01141,0.63175,0.84428,0.80617,0.41501,1.57945,1.1046,0.01544,0.00298172,0.00298172,0.00298172
7,731.026,1.28589,0.92012,0.01136,0.64136,0.85448,0.81074,0.42524,1.50076,0.9464,0.016,0.0029737,0.0029737,0.0029737
8,823.03,1.26155,0.84984,0.01101,0.68586,0.8454,0.82401,0.51829,1.2823,0.88738,0.01312,0.00296424,0.00296424,0.00296424
9,911.922,1.28347,0.83532,0.0112,0.66338,0.88905,0.84032,0.47641,1.47988,0.82884,0.01617,0.00295335,0.00295335,0.00295335
10,1002.17,1.29565,0.78677,0.01133,0.66287,0.8538,0.82625,0.495,1.46022,0.70218,0.01633,0.00294104,0.00294104,0.00294104
11,1090.84,1.25928,0.75605,0.01071,0.75512,0.81316,0.84644,0.59838,1.09207,0.80924,0.01171,0.00292732,0.00292732,0.00292732
12,1180.21,1.27245,0.708,0.01095,0.68339,0.9368,0.83723,0.57497,1.20743,0.6334,0.01309,0.00291221,0.00291221,0.00291221
13,1271.99,1.2464,0.73087,0.01094,0.746,0.88782,0.84614,0.53398,1.38673,0.63165,0.01375,0.00289572,0.00289572,0.00289572
14,1361.94,1.22618,0.68237,0.01062,0.75947,0.89218,0.85999,0.60278,1.18534,0.6336,0.01307,0.00287787,0.00287787,0.00287787
15,1451.96,1.25327,0.68411,0.01084,0.77676,0.90273,0.85179,0.52522,1.42369,0.5317,0.01466,0.00285867,0.00285867,0.00285867
16,1542.8,1.23744,0.65761,0.0106,0.76997,0.89164,0.85055,0.48392,1.58324,0.66626,0.01633,0.00283814,0.00283814,0.00283814
17,1633.39,1.26984,0.66854,0.01108,0.77541,0.91572,0.85572,0.5174,1.44598,0.55054,0.01472,0.00281632,0.00281632,0.00281632
18,1723.68,1.18188,0.64759,0.01026,0.80096,0.9028,0.86583,0.64574,1.02498,0.46776,0.01045,0.0027932,0.0027932,0.0027932
19,1813.71,1.19187,0.61822,0.01025,0.79722,0.89843,0.86549,0.62658,1.13108,0.54063,0.01303,0.00276883,0.00276883,0.00276883
20,1903.79,1.20112,0.63677,0.01062,0.78808,0.87177,0.8569,0.55718,1.34322,0.59097,0.01335,0.00274321,0.00274321,0.00274321
21,1995.22,1.19404,0.64049,0.01062,0.80015,0.89966,0.85609,0.60534,1.14979,0.58992,0.01103,0.00271639,0.00271639,0.00271639
22,2085.09,1.19417,0.62129,0.01049,0.79624,0.89049,0.86728,0.6371,1.11619,0.5797,0.01143,0.00268838,0.00268838,0.00268838
23,2175.34,1.17544,0.61759,0.01037,0.74034,0.93046,0.84816,0.60967,1.1436,0.58674,0.01189,0.00265921,0.00265921,0.00265921
24,2266.68,1.15112,0.6245,0.00988,0.78181,0.90532,0.86037,0.58486,1.18177,0.59035,0.01186,0.00262891,0.00262891,0.00262891
