epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.957,1.52349,2.43033,0.01356,0.56495,0.45893,0.49701,0.23192,1.54663,1.63279,0.01651,0.000997093,0.000997093,0.0677607
2,150.199,1.41276,1.40465,0.01249,0.52851,0.63878,0.64947,0.32787,1.3617,1.3066,0.01324,0.00199661,0.00199661,0.0354268
3,206.548,1.3484,1.22385,0.01216,0.57801,0.74827,0.74459,0.43516,1.37836,1.19458,0.01595,0.00299417,0.00299417,0.00309106
4,261.549,1.28656,1.08748,0.01128,0.62157,0.77224,0.76377,0.38775,1.68037,1.08014,0.01657,0.00299341,0.00299341,0.00299341
5,316.792,1.33282,1.01997,0.01203,0.58813,0.78697,0.76133,0.42423,1.42444,1.10208,0.01376,0.00298829,0.00298829,0.00298829
6,371.933,1.31273,0.92685,0.01157,0.73108,0.82655,0.81464,0.4599,1.48689,0.81194,0.0146,0.00298172,0.00298172,0.00298172
7,428.877,1.29049,0.86844,0.0113,0.69644,0.83901,0.83774,0.53463,1.24249,0.79368,0.01283,0.0029737,0.0029737,0.0029737
8,486.032,1.2821,0.86936,0.01156,0.6744,0.82856,0.80649,0.4363,1.59959,0.89911,0.01713,0.00296424,0.00296424,0.00296424
9,541.223,1.25988,0.79709,0.01113,0.70785,0.87,0.81922,0.46934,1.52138,0.77069,0.01568,0.00295335,0.00295335,0.00295335
10,601.699,1.27952,0.76876,0.01131,0.67872,0.91774,0.83648,0.51544,1.35839,0.77771,0.01369,0.00294104,0.00294104,0.00294104
11,660.167,1.26252,0.72436,0.01079,0.71734,0.9079,0.8431,0.59918,1.11837,0.64808,0.01121,0.00292732,0.00292732,0.00292732
12,715.148,1.24065,0.71754,0.01099,0.67778,0.8405,0.83325,0.49988,1.43936,0.74262,0.01527,0.00291221,0.00291221,0.00291221
13,770.132,1.24217,0.71738,0.01084,0.76133,0.82263,0.83783,0.48272,1.50755,0.83421,0.01607,0.00289572,0.00289572,0.00289572
14,825.08,1.22099,0.67089,0.01087,0.74269,0.88152,0.83408,0.6119,1.12061,0.61687,0.01235,0.00287787,0.00287787,0.00287787
15,880.322,1.2297,0.66659,0.01063,0.73182,0.88987,0.8366,0.52244,1.45487,0.83373,0.01622,0.00285867,0.00285867,0.00285867
16,938.902,1.2556,0.6856,0.01113,0.73477,0.90451,0.84982,0.58502,1.15484,0.6122,0.01243,0.00283814,0.00283814,0.00283814
17,995.036,1.21977,0.66715,0.0108,0.72333,0.91065,0.84979,0.56604,1.26753,0.64176,0.01321,0.00281632,0.00281632,0.00281632
18,1051.02,1.22556,0.64276,0.0107,0.7895,0.91569,0.86229,0.5969,1.24186,0.5751,0.01357,0.0027932,0.0027932,0.0027932
19,1108.16,1.19839,0.60709,0.01037,0.79281,0.91341,0.87418,0.59511,1.21894,0.49193,0.01276,0.00276883,0.00276883,0.00276883
20,1166.09,1.18408,0.58701,0.0102,0.80071,0.91379,0.86014,0.55039,1.31724,0.56649,0.01333,0.00274321,0.00274321,0.00274321
21,1225.31,1.21231,0.59997,0.01045,0.81771,0.92632,0.86106,0.65298,1.02012,0.48486,0.01022,0.00271639,0.00271639,0.00271639
22,1280.8,1.1736,0.60242,0.01046,0.76364,0.93391,0.85942,0.65426,0.93676,0.60663,0.00882,0.00268838,0.00268838,0.00268838
23,1336.88,1.17633,0.5783,0.01036,0.82304,0.9191,0.86289,0.6587,1.0288,0.54061,0.01149,0.00265921,0.00265921,0.00265921
24,1392.07,1.15591,0.56521,0.01011,0.78984,0.9412,0.87143,0.56309,1.30737,0.54354,0.01334,0.00262891,0.00262891,0.00262891
25,1448.37,1.15408,0.57437,0.01006,0.80482,0.8855,0.86107,0.58969,1.13718,0.54408,0.01214,0.00259752,0.00259752,0.00259752
26,1506.33,1.16139,0.58314,0.01011,0.8228,0.89934,0.86828,0.68334,0.89688,0.49331,0.01004,0.00256505,0.00256505,0.00256505
27,1561.53,1.17159,0.55425,0.01017,0.80717,0.93167,0.87577,0.70853,0.81382,0.42722,0.00932,0.00253155,0.00253155,0.00253155
28,1617.28,1.14766,0.53548,0.00989,0.80126,0.93808,0.8596,0.6678,0.92628,0.47082,0.0105,0.00249705,0.00249705,0.00249705
29,1673.66,1.12129,0.53805,0.0097,0.79678,0.92815,0.86107,0.61265,1.03285,0.49176,0.0102,0.00246157,0.00246157,0.00246157
30,1730.34,1.13183,0.54406,0.0095,0.79071,0.95439,0.86246,0.68218,0.85741,0.44612,0.00885,0.00242517,0.00242517,0.00242517
31,1787.56,1.12703,0.54285,0.0098,0.79832,0.94289,0.85713,0.62657,1.08009,0.4391,0.0111,0.00238786,0.00238786,0.00238786
32,1843.92,1.11827,0.51945,0.00961,0.79805,0.92659,0.86366,0.63786,0.98514,0.42691,0.00955,0.00234969,0.00234969,0.00234969
33,1900.51,1.11829,0.53301,0.00974,0.81385,0.94595,0.8757,0.62677,1.13953,0.5302,0.0127,0.0023107,0.0023107,0.0023107
34,1956.7,1.11851,0.50652,0.00944,0.79528,0.93781,0.87585,0.67537,0.89459,0.43912,0.00911,0.00227093,0.00227093,0.00227093
35,2012.53,1.10456,0.51403,0.00956,0.80074,0.96095,0.87095,0.62749,1.06707,0.45457,0.0106,0.0022304,0.0022304,0.0022304
36,2067.71,1.09151,0.49724,0.00942,0.82523,0.9434,0.87166,0.70452,0.81221,0.44161,0.00806,0.00218918,0.00218918,0.00218918
37,2124.65,1.08864,0.47839,0.00922,0.81819,0.92626,0.86149,0.68696,0.86132,0.45347,0.00955,0.00214728,0.00214728,0.00214728
38,2179.71,1.08338,0.51024,0.00932,0.81812,0.93824,0.86492,0.63928,1.02999,0.45918,0.01101,0.00210476,0.00210476,0.00210476
