epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1999,0.69665,0.82253,0.00899,0.51442,1,0.74564,0.47231,1.56648,0.89457,0.0221,0.000326241,0.000326241,0.0677021
2,46.5879,0.41312,0.75232,0.00516,0.63718,0.98503,0.74625,0.638,0.52264,0.75454,0.0068,0.000616043,0.000616043,0.0346586
3,66.8406,0.46718,0.69887,0.0059,0.73858,1,0.74625,0.64894,0.7788,0.7233,0.01029,0.000861844,0.000861844,0.00157106
4,87.7605,0.43376,0.63401,0.00528,0.95683,0.99373,0.995,0.90808,0.40707,0.59294,0.00485,0.000802,0.000802,0.000802
5,107.643,0.39195,0.54905,0.00491,0.99043,1,0.995,0.89235,0.43137,0.4851,0.00569,0.000736,0.000736,0.000736
6,127.788,0.378,0.44628,0.0046,0.99055,1,0.995,0.91638,0.41515,0.40293,0.00497,0.00067,0.00067,0.00067
7,147.384,0.38586,0.35674,0.00481,0.99392,1,0.995,0.84628,0.79536,0.34664,0.01054,0.000604,0.000604,0.000604
8,167.152,0.37298,0.27549,0.00468,0.99621,1,0.995,0.89201,0.50892,0.26059,0.00654,0.000538,0.000538,0.000538
9,186.791,0.35239,0.22146,0.00428,0.99718,1,0.995,0.89508,0.4961,0.22319,0.00609,0.000472,0.000472,0.000472
10,207.458,0.35759,0.17659,0.0045,0.99812,1,0.995,0.89053,0.62965,0.20168,0.00811,0.000406,0.000406,0.000406
11,227.984,0.32683,0.15063,0.00401,0.99861,1,0.995,0.89637,0.5506,0.20016,0.00707,0.00034,0.00034,0.00034
12,248.681,0.33908,0.13779,0.00429,0.99866,1,0.995,0.90079,0.45932,0.15344,0.00584,0.000274,0.000274,0.000274
13,268.85,0.31875,0.1368,0.00387,0.99869,1,0.995,0.89643,0.59345,0.18539,0.00764,0.000208,0.000208,0.000208
14,288.475,0.31579,0.1244,0.00373,0.99862,1,0.995,0.87429,0.68129,0.20441,0.00885,0.000142,0.000142,0.000142
15,307.19,0.32599,0.12238,0.00406,0.99861,1,0.995,0.87377,0.64434,0.1865,0.00834,7.6e-05,7.6e-05,7.6e-05
