epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.572,0.5518,5.04667,0.01295,0.10057,0.4954,0.08416,0.06104,0.35056,8.67847,0.01198,0.000270547,0.000270547,0.000270547
2,279.817,0.47753,4.21464,0.01071,0.01094,0.55438,0.06325,0.03116,0.41035,8.48359,0.01482,0.000542786,0.000542786,0.000542786
3,397.99,0.4804,3.60854,0.01111,0.01471,0.6403,0.13652,0.05698,0.46083,8.15012,0.0154,0.000809528,0.000809528,0.000809528
4,679.925,0.50422,3.20832,0.01151,0.02987,0.75753,0.21863,0.07877,0.33751,7.70227,0.01128,0.00080826,0.00080826,0.00080826
5,983.48,0.50131,2.89996,0.01238,0.03434,0.62139,0.12858,0.04493,0.46753,7.40641,0.01648,0.000800013,0.000800013,0.000800013
6,1617.24,0.46286,2.70764,0.0106,0.0389,0.60578,0.12328,0.05798,0.47826,7.13706,0.01644,0.000791767,0.000791767,0.000791767
7,1737.18,0.41008,2.38365,0.00932,0.07384,0.48407,0.1965,0.10817,0.42738,7.26073,0.01458,0.00078352,0.00078352,0.00078352
8,1857.18,0.40849,2.21367,0.00941,0.07534,0.27477,0.10024,0.04568,0.41178,6.44767,0.0142,0.000775273,0.000775273,0.000775273
9,1973.9,0.40411,2.04429,0.00939,0.10555,0.35396,0.12855,0.07277,0.42512,6.14057,0.0144,0.000767026,0.000767026,0.000767026
10,2094.94,0.4136,1.84792,0.00961,0.05557,0.30085,0.05586,0.03182,0.49647,6.29632,0.017,0.00075878,0.00075878,0.00075878
11,2216.57,0.38408,1.7427,0.00867,0.06966,0.17371,0.07316,0.03597,0.41769,5.99026,0.01509,0.000750533,0.000750533,0.000750533
12,2343.16,0.35592,1.66236,0.00817,0.10039,0.08382,0.06539,0.05332,0.33531,5.76378,0.01173,0.000742286,0.000742286,0.000742286
13,2474.3,0.35688,1.58197,0.00813,0.17433,0.09341,0.10587,0.06062,0.40322,5.75652,0.01459,0.00073404,0.00073404,0.00073404
14,2609.87,0.37761,1.44519,0.00866,0.31944,0.07998,0.19619,0.09293,0.40861,5.61543,0.01436,0.000725793,0.000725793,0.000725793
15,2742.35,0.36732,1.36916,0.00841,0.29241,0.03452,0.15204,0.0573,0.42052,5.18669,0.01478,0.000717546,0.000717546,0.000717546
16,2874.49,0.34871,1.31138,0.00801,0.26667,0.01863,0.1375,0.08245,0.36934,5.49642,0.01238,0.000709299,0.000709299,0.000709299
17,3004.86,0.3277,1.22468,0.00736,0.25,0.00301,0.12575,0.12575,0.35479,5.35504,0.01276,0.000701053,0.000701053,0.000701053
18,3133.62,0.32448,1.18053,0.0073,0.44643,0.01233,0.22898,0.15326,0.31979,5.23043,0.01094,0.000692806,0.000692806,0.000692806
19,3264.34,0.31959,1.12839,0.0071,0.07143,0.00329,0.03595,0.03235,0.3312,5.14134,0.01162,0.000684559,0.000684559,0.000684559
20,3396.12,0.32812,1.12073,0.00738,0,0,0,0,0.39649,5.29355,0.01403,0.000676313,0.000676313,0.000676313
21,3527.53,0.32751,1.08179,0.00757,0,0,0,0,0.35736,5.04596,0.01252,0.000668066,0.000668066,0.000668066
22,3658.57,0.30564,0.97599,0.0068,0,0,0,0,0.36933,5.15064,0.01295,0.000659819,0.000659819,0.000659819
23,3787.8,0.30346,0.96952,0.00676,0,0,0,0,0.35456,5.19034,0.01239,0.000651573,0.000651573,0.000651573
24,3916.94,0.31053,0.96405,0.00697,0,0,0,0,0.36833,5.04668,0.01269,0.000643326,0.000643326,0.000643326
25,4047.24,0.32608,0.94122,0.008,0,0,0,0,0.3966,5.05185,0.01358,0.000635079,0.000635079,0.000635079
26,4175.73,0.30834,0.91676,0.00698,0,0,0,0,0.34658,5.23062,0.01196,0.000626832,0.000626832,0.000626832
27,4305.14,0.32573,0.9446,0.00777,0,0,0,0,0.34852,5.35934,0.01215,0.000618586,0.000618586,0.000618586
